<doc id="edoc_wd_1730-03-22" attrs="word" year="1730" month="03" day="22" corpus="1">
<head id="hl2">
Mit	w17
40	w5407
<g/>
.
Kreutzer	w5409
<g/>
.
</p>
<head id="hl32">
NB	w5411
<g/>
.
</head>
<p id="p46">
Den	w5413
30sten	w5414
dieses	w5415
Monats	w5416
Martii	w5417
wer werden	w5418
<g/>
=
</p>
<p id="p47">
den	w5420
in	w5421
dem	w5422
langen	w5423
Haus	w5424
auf	w5425
dem	w5426
alten	w5427
Haar	w5428
<g/>
=
Markt	w5430
im	w5431
ersten	w5432
Stok	w5433
<g/>
/
unterschied=liche	w5435
<g/>
=
Effecten	w5437
<g/>
/
besonders	w5439
ein	w5440
<g/>
=
und	w5442
anderes	w5443
Silber	w5444
<g/>
=
Geschmeid	w5446
<g/>
/
Mahlereyen	w5448
<g/>
/
und	w5450
Bü=cher	w5451
<g/>
=
<g/>
/
meistentheils	w5454
Juridische	w5455
<g/>
/
denen	w5457
meist	w5458
<g/>
=
Bietenden	w5460
verkauft	w5461
<g/>
/
und	w5463
an	w5464
ob=	w5465
<g/>
=
Tag	w5467
um	w5468
9	w5469
<g/>
.
Uhr	w5471
vor	w5472
<g/>
=
Mittag	w5474
hierzu	w5475
der	w5476
An=fang	w5477
<g/>
=
gemacht	w5479
<g/>
/
und	w5481
nach	w5482
<g/>
=
Mittag	w5484
von	w5485
3	w5486
<g/>
.
bis	w5488
6	w5489
<g/>
.
Uhr	w5491
<g/>
/
erwann	w5493
auch	w5494
noch	w5495
einige	w5496
Täge	w5497
hernach	w5498
continuiret	w5499
werden	w5500
<g/>
;
welches	w5502
zu	w5503
je=dermanns	w5504
<g/>
=
wissen	w5506
hiemit	w5507
erinneret	w5508
wird	w5509
<g/>
.
</p>
<head id="hl33">
NB	w5511
<g/>
.
</head>
<p id="p48">
Den	w5513
31sten	w5514
Dieses	w5515
<g/>
/
wird	w5517
eine	w5518
Bibliothec	w5519
von	w5520
verschiedenen	w5521
schönen	w5522
mehrentheils	w5523
Po- litisch	w5524
<g/>
-
<g/>
=
und	w5527
Staatistischen	w5528
Büchern	w5529
<g/>
/
auch	w5531
Silber	w5532
<g/>
/
2	w5534
<g/>
.
Stuk	w5536
Sammet	w5537
<g/>
/
und	w5539
anderen	w5540
Effecten	w5541
<g/>
/
so	w5543
in	w5544
dem	w5545
Fockischen	w5546
Haus	w5547
unter	w5548
denen	w5549
Tuch	w5550
<g/>
=
Lauben	w5552
im	w5553
dritten	w5554
Stok	w5555
<g/>
/
bey	w5557
<g/>
(
Tit	w5559
<g/>
)
Herrn	w5561
Baron	w5562
von	w5563
Malanoth	w5564
zu	w5565
sehen	w5566
seynd	w5567
<g/>
/
in	w5569
der	w5570
Löbl	w5571
<g/>
.
O	w5573
<g/>
.
H	w5575
<g/>
.
M	w5577
<g/>
.
Amts	w5579
<g/>
=
Cantzley	w5581
nach	w5582
Mittag	w5583
um	w5584
3	w5585
<g/>
.
Uhr	w5587
<g/>
/
plus	w5589
of-ferenti	w5590
<g/>
-
verkauffet	w5592
werden	w5593
<g/>
.
</p>
<p id="p49">
LISTA	w5595
deren	w5596
aus	w5597
der	w5598
neuen	w5599
Kaiserl	w5600
<g/>
.
Privilegirten	w5602
Lotterie	w5603
bey	w5604
der	w5605
Achtzehenden	w5606
den	w5607
18	w5608
<g/>
.
Matrii	w5610
1730	w5611
<g/>
.
in	w5613
Gegenwart	w5614
deren	w5615
Kaiserl	w5616
<g/>
.
hierzu	w5618
Deputirten	w5619
Herren	w5620
Commissarien	w5621
geschehenen	w5622
Ziehung	w5623
ausgetrettenen	w5624
Lossen	w5625
<g/>
/
welche	w5627
ihr	w5628
Capital	w5629
mit	w5630
samt	w5631
dem	w5632
hier=unten	w5633
<g/>
=
beygesetzten	w5635
Interesse	w5636
zu	w5637
empfangen	w5638
haben	w5639
<g/>
.
</p>
<head id="hl34">
Ausgetrettene	w5641
Num	w5642
<g/>
.
der	w5644
neu=en	w5645
<g/>
=
Lotterie	w5647
<g/>
.
</head>
<p id="p50">
Haben	w5669
zu	w5670
empfangen	w5671
<g/>
.
</p>
<p id="p51">
Gew	w5673
<g/>
.
Extra	w5675
<g/>
.
</p>
<head id="hl35">
Haben	w5697
aus=gegeben	w5698
<g/>
=
<g/>
.
</head>
<head id="hl36">
fl	w5701
<g/>
.
kr	w5703
<g/>
.
</head>
<head id="hl37">
Haben	w5725
zum	w5726
Gewinn	w5727
</head>
<head id="hl38">
fl	w5728
<g/>
.
kr	w5730
<g/>
.
</head>
<head id="hl39">
Also	w5752
bringet	w5753
einem	w5754
jeden	w5755
ausge=trettenen	w5756
<g/>
=
sein	w5758
Geld	w5759
an	w5760
Interesse	w5761
dem	w5762
</head>
<head id="hl40">
Anno	w5835
1730	w5836
<g/>
.
<g/>
(
Anhang	w5839
zu	w5840
Num	w5841
<g/>
.
23	w5843
<g/>
.
<g/>
)
22	w5845
<g/>
.
Martius	w5847
<g/>
.
</head>
<head id="hl41">
Bericht	w5850
Dessen	w5851
</head>
<head id="hl42">
Was	w5852
sich	w5853
zu	w5854
Rom	w5855
nach	w5856
erfolgten	w5857
Höchst=seligen	w5858
<g/>
=
Hinscheiden	w5860
</head>
<head id="hl43">
Jhrer	w5861
Päpstl	w5862
<g/>
.
Heiligkeit	w5864
</head>
<head id="hl44">
BENEDICTI	w5865
des	w5866
XIII	w5867
<g/>
.
</head>
<head id="hl45">
Von	w5869
dem	w5870
21	w5871
<g/>
.
bis	w5873
24	w5874
<g/>
.
Martii	w5876
1730	w5877
<g/>
.
merkwür=dig	w5879
<g/>
=
zugetragen	w5881
<g/>
.
</head>
<p id="p52">
NAchdeme	w5883
dieser	w5884
Tägen	w5885
Jhre	w5886
Päpstl	w5887
<g/>
.
Heilig=keit	w5889
<g/>
=
BENEDICTUS	w5891
der	w5892
XIII	w5893
<g/>
,
von	w5895
einer	w5896
klei=nen	w5897
<g/>
=
<g/>
/
und	w5900
dahero	w5901
nicht	w5902
gefährlich	w5903
scheinenden	w5904
Catharrischen	w5905
Unpäßlichkeit	w5906
befallen	w5907
worden	w5908
<g/>
/
also	w5910
daß	w5911
Höchst	w5912
<g/>
=
Dieselbe	w5914
diesem	w5915
ungeachtet	w5916
noch	w5917
Dienstags	w5918
als	w5919
den	w5920
21sten	w5921
Martii	w5922
des	w5923
mor=gens	w5924
<g/>
=
das	w5926
Officium	w5927
und	w5928
alle	w5929
Dero	w5930
andere	w5931
sonst	w5932
gewöhnliche	w5933
Gebeter	w5934
selbsten	w5935
gebetet	w5936
<g/>
/
mit	w5938
gröster	w5939
Andacht	w5940
kniend	w5941
die	w5942
H	w5943
<g/>
.
Meß	w5945
gehöret	w5946
<g/>
/
und	w5948
das	w5949
Allerheiligste	w5950
Altars	w5951
<g/>
=
Sacrament	w5953
empfangen	w5954
<g/>
/
so	w5956
hat	w5957
jedoch	w5958
Dero	w5959
Unpäßlichkeit	w5960
nach	w5961
Mittag	w5962
dergestalten	w5963
heftig	w5964
zugenommen	w5965
<g/>
/
daß	w5967
hierdurch	w5968
Jhre	w5969
Heiligkeit	w5970
<g/>
/
nach	w5972
empfangener	w5973
letzten	w5974
Oelung	w5975
<g/>
/
um	w5977
halb	w5978
23	w5979
<g/>
.
Uhr	w5981
ihren	w5982
Geist	w5983
in	w5984
dem	w5985
Alter	w5986
von	w5987
81	w5988
<g/>
.
Jahren	w5990
<g/>
/
und	w5992
19	w5993
<g/>
.
Tägen	w5995
<g/>
/
nach=deme	w5997
<g/>
=
Sie	w5999
5	w6000
<g/>
.
Jahr	w6002
<g/>
/
8	w6004
<g/>
.
Monat	w6006
<g/>
/
und	w6008
23	w6009
<g/>
.
Täg	w6011
den	w6012
Päpstlichen	w6013
Stuhl	w6014
besessen	w6015
hatte	w6016
<g/>
/
dem	w6018
Schöpfer	w6019
wieder	w6020
zuruk	w6021
zu	w6022
stellen	w6023
bemüssiget	w6024
ward	w6025
<g/>
.
Des	w6027
Abends	w6028
wurden	w6029
die	w6030
Gefangene	w6031
aus	w6032
denen	w6033
Gefängnussen	w6034
des	w6035
Capitolii	w6036
<g/>
,
und	w6038
aus	w6039
denen	w6040
sogenannten	w6041
Neuen	w6042
Kerkern	w6043
<g/>
/
in	w6045
die	w6046
Festung	w6047
der	w6048
Engels	w6049
<g/>
=
Burg	w6051
<g/>
/
oder	w6053
Castel	w6054
S	w6055
<g/>
.
An-gelo	w6057
<g/>
-
überbracht	w6059
<g/>
.
</p>
<p id="p53">
Mittwoch	w6061
den	w6062
22sten	w6063
Dito	w6064
geschahe	w6065
des	w6066
A=bends	w6067
<g/>
=
um	w6069
22	w6070
<g/>
.
Uhr	w6072
in	w6073
Gegenwart	w6074
Jhrer	w6075
Emi=nentz	w6076
<g/>
=
des	w6078
Cardinals	w6079
Corsini	w6080
<g/>
,
Bischofen	w6082
von	w6083
Frascati	w6084
<g/>
,
erster	w6086
Creatur	w6087
des	w6088
Papsten	w6089
Clemens	w6090
des	w6091
XI	w6092
<g/>
.
<g/>
(
als	w6095
Substituirten	w6096
Jhrer	w6097
Eminentz	w6098
des	w6099
Card	w6100
<g/>
.
Hannibal	w6102
Albani	w6103
von	w6104
S	w6105
<g/>
.
Clemens	w6107
<g/>
,
der	w6109
H	w6110
<g/>
.
Kirchen	w6112
Cämmerling	w6113
<g/>
/
welcher	w6115
abwesend	w6116
ware	w6117
<g/>
)
und	w6119
derer	w6120
Cammer	w6121
<g/>
=
Clericorum	w6123
<g/>
,
und	w6125
anderer	w6126
Cameralen	w6127
durch	w6128
ein	w6129
offentliches	w6130
In-strument	w6131
<g/>
-
<g/>
,
oder	w6134
Schrift	w6135
<g/>
=
Stellung	w6137
die	w6138
Erkannt=nuß	w6139
<g/>
=
<g/>
/
und	w6142
Besichtigung	w6143
des	w6144
Päpstl	w6145
<g/>
.
Leichnams	w6147
<g/>
/
wie	w6149
nicht	w6150
weniger	w6151
die	w6152
Uberlieferung	w6153
des	w6154
Fi=scher	w6155
<g/>
=
<g/>
=
Rings	w6158
an	w6159
Seine	w6160
Eminentz	w6161
durch	w6162
den	w6163
</p>
<p id="p54">
Monsignor	w6164
Santamaria	w6165
Bischofen	w6166
von	w6167
Ci-rene	w6168
<g/>
-
<g/>
,
und	w6171
Cammer	w6172
<g/>
=
Meistern	w6174
<g/>
.
Nach	w6176
gesche=hener	w6177
<g/>
=
dieser	w6179
Function	w6180
<g/>
,
kehrete	w6182
obbenannte	w6183
Seine	w6184
Eminentz	w6185
der	w6186
Cardinal	w6187
Corsini	w6188
<g/>
,
in	w6190
Be=gleitung	w6191
<g/>
=
der	w6193
Schweitzer	w6194
<g/>
=
Wacht	w6196
<g/>
/
und	w6198
deren	w6199
ge=wöhnlichen	w6200
<g/>
=
Officiern	w6202
<g/>
/
nach	w6204
seinem	w6205
Pallast	w6206
zu=ruk	w6207
<g/>
=
<g/>
.
Eben	w6210
denselben	w6211
Tag	w6212
schickete	w6213
Jhre	w6214
Emi=nentz	w6215
<g/>
=
der	w6217
Card	w6218
<g/>
.
Marefoschi	w6220
<g/>
,
General	w6222
<g/>
-
Vicarius	w6224
von	w6225
Rom	w6226
einen	w6227
gedrukten	w6228
Befehl	w6229
an	w6230
alle	w6231
Kir=chen	w6232
<g/>
=
und	w6234
Clöster	w6235
dieser	w6236
Stadt	w6237
<g/>
/
sie	w6239
seyen	w6240
auf	w6241
waserley	w6242
Art	w6243
sie	w6244
wollen	w6245
privilegiret	w6246
<g/>
/
um	w6248
23	w6249
<g/>
.
Uhr	w6251
alle	w6252
Glocken	w6253
auf	w6254
eine	w6255
Stund	w6256
lang	w6257
zur	w6258
Trauer	w6259
zusammen	w6260
zu	w6261
läuten	w6262
<g/>
;
welches	w6264
auch	w6265
ge=schahe	w6266
<g/>
=
<g/>
.
Anbey	w6269
befahle	w6270
Seine	w6271
Eminentz	w6272
<g/>
/
daß	w6274
man	w6275
in	w6276
jeder	w6277
Kirche	w6278
an	w6279
einem	w6280
Tage	w6281
<g/>
/
da	w6283
keine	w6284
Verhindernuß	w6285
emfiele	w6286
<g/>
/
und	w6288
an	w6289
welchem	w6290
es	w6291
am	w6292
gelegnesten	w6293
wäre	w6294
<g/>
/
für	w6296
Jhre	w6297
verstorbene	w6298
Päpstl	w6299
<g/>
.
Heiligkeit	w6301
die	w6302
Exequien	w6303
halten	w6304
solte	w6305
<g/>
:
auch	w6307
wur=den	w6308
<g/>
=
bey	w6310
dieser	w6311
Gelegenheit	w6312
alle	w6313
in	w6314
Rom	w6315
anwe=sende	w6316
<g/>
=
Priester	w6318
eine	w6319
H	w6320
<g/>
.
Seelen	w6322
<g/>
=
Meß	w6324
<g/>
/
wie	w6326
andere	w6327
malen	w6328
gebräuchlich	w6329
gewesen	w6330
<g/>
/
für	w6332
Jhre	w6333
Päpstl	w6334
<g/>
.
Heiligkeit	w6336
zu	w6337
lesen	w6338
<g/>
;
und	w6340
beederley	w6341
Geschlechts	w6342
Ordens	w6343
<g/>
=
Leute	w6345
<g/>
/
und	w6347
alle	w6348
Christglaubige	w6349
<g/>
/
Sel=bige	w6351
<g/>
=
in	w6353
ihr	w6354
Gebet	w6355
einzuschliessen	w6356
<g/>
/
vermahnet	w6358
<g/>
.
Uber	w6360
dieses	w6361
verordnete	w6362
Seine	w6363
Eminentz	w6364
<g/>
/
in	w6366
al=len	w6367
<g/>
=
obbesagten	w6369
Kirchen	w6370
<g/>
/
so	w6372
lang	w6373
der	w6374
Päpstl	w6375
<g/>
.
Stuhl	w6377
lähr	w6378
bleibet	w6379
<g/>
/
in	w6381
denen	w6382
H	w6383
<g/>
.
Messen	w6385
die	w6386
Collecta	w6387
<g/>
,
oder	w6389
das	w6390
Gebet	w6391
<g/>
/
pro	w6393
Pontifice	w6394
eli-gendo	w6395
<g/>
-
<g/>
,
das	w6398
ist	w6399
zur	w6400
Erwehlung	w6401
eines	w6402
Papsten	w6403
beyzusetzen	w6404
<g/>
.
Eben	w6406
diesen	w6407
Tag	w6408
Abends	w6409
wurde	w6410
der	w6411
Leichnam	w6412
Jhrer	w6413
Päpstl	w6414
<g/>
.
Heiligkeit	w6416
<g/>
/
so	w6418
mit	w6419
dem	w6420
Cammer	w6421
<g/>
=
Habit	w6423
angekleidet	w6424
ware	w6425
<g/>
/
aus	w6427
denen	w6428
eigenen	w6429
Zimmern	w6430
in	w6431
die	w6432
Capelle	w6433
S	w6434
<g/>
.
Sixti	w6436
in	w6437
dem	w6438
Vatican	w6439
überbracht	w6440
<g/>
/
alwo	w6442
demselben	w6443
von	w6444
denen	w6445
EE	w6446
<g/>
.
PP	w6448
<g/>
.
Pœnitentiariis Poenitentiariis	w6450
von	w6451
St	w6452
<g/>
.
Peter	w6454
die	w6455
Cammer	w6456
<g/>
=
Kleider	w6458
ausgezogen	w6459
<g/>
/
und	w6461
die	w6462
Päpstlichen	w6463
rot	w6464
färbigten	w6465
Kleider	w6466
nemlich	w6467
das	w6468
Rochetto	w6469
<g/>
,
Meß	w6471
<g/>
=
Gewand	w6473
<g/>
/
Albe	w6475
<g/>
/
Fanon	w6477
<g/>
-
Pallium	w6479
<g/>
,
die	w6481
Bischöfliche	w6482
Haube	w6483
aus	w6484
Golde=nen	w6485
<g/>
=
Zeug	w6487
<g/>
/
angeleget	w6489
<g/>
/
und	w6491
zu	w6492
denen	w6493
Füssen	w6494
die	w6495
zwey	w6496
Päpstl	w6497
<g/>
.
Hüte	w6499
von	w6500
rotem	w6501
Sammet	w6502
<g/>
/
wel=che	w6504
<g/>
=
in	w6506
ofentlichen	w6507
Functionen	w6508
des	w6509
Papsten	w6510
von	w6511
zwey	w6512
Geheimen	w6513
Cæmmerern Caemmerern	w6514
auf	w6515
denen	w6516
Hän=den	w6517
<g/>
=
getragen	w6519
werden	w6520
<g/>
/
geleget	w6522
<g/>
;
und	w6524
die	w6525
Leiche	w6526
auf	w6527
eine	w6528
Trag	w6529
<g/>
=
Bahre	w6531
<g/>
/
in	w6533
Gestalt	w6534
eines	w6535
Tod=ten	w6536
<g/>
=
<g/>
=
Behtes	w6539
<g/>
/
so	w6541
mit	w6542
Fackeln	w6543
umgeben	w6544
ware	w6545
<g/>
/
mitten	w6547
in	w6548
besagter	w6549
Capelle	w6550
gesetzet	w6551
<g/>
.
Welche	w6553
ob oberwehnte	w6554
<g/>
=
</p>
<p id="p55">
erwehnte	w6558
mit	w6559
Chor	w6560
<g/>
=
Rät	w6562
<g/>
/
und	w6564
Stolen	w6565
angetha=nene	w6566
<g/>
=
Pœnitentiarii Poenitentiarii	w6568
die	w6569
gantze	w6570
Nacht	w6571
bewa=cheten	w6572
<g/>
=
<g/>
/
und	w6575
um	w6576
dieselbe	w6577
viele	w6578
Palmen	w6579
<g/>
/
und	w6581
andere	w6582
heilige	w6583
Gebeter	w6584
sprachen	w6585
<g/>
.
</p>
<p id="p56">
Donnerstag	w6587
<g/>
/
den	w6589
23sten	w6590
Dito	w6591
<g/>
/
morgens	w6593
um	w6594
15	w6595
<g/>
.
Uhr	w6597
kündigte	w6598
die	w6599
grosse	w6600
Glocken	w6601
des	w6602
Ca-pitolii	w6603
<g/>
-
durch	w6605
einen	w6606
traurigen	w6607
Wieder	w6608
<g/>
=
Schall	w6610
den	w6611
mit	w6612
Thränen	w6613
zu	w6614
bedauernden	w6615
Todes	w6616
<g/>
=
Fall	w6618
des	w6619
Allerheiligsten	w6620
Vatters	w6621
<g/>
/
und	w6623
Algemeinen	w6624
Hirten	w6625
jedermänniglich	w6626
an	w6627
<g/>
.
Und	w6629
immittelst	w6630
als	w6631
sich	w6632
Jhre	w6633
Eminentzen	w6634
die	w6635
Cardinäle	w6636
B	w6637
arbe-rini	w6638
<g/>
-
<g/>
,
Ottoboni	w6641
<g/>
,
Corsini	w6643
<g/>
,
Imperiali	w6645
<g/>
,
S	w6647
<g/>
.
Cle-mente	w6649
<g/>
-
<g/>
,
Zondodari	w6652
<g/>
,
Coradini	w6654
<g/>
,
Origo	w6656
<g/>
.
Bel-luga	w6658
<g/>
-
<g/>
,
Cienfuegos	w6661
<g/>
,
S	w6663
<g/>
.
Matteo	w6665
<g/>
,
Lercari	w6667
<g/>
,
Fi-ny	w6669
<g/>
-
<g/>
,
Gotti	w6672
<g/>
,
Porzia	w6674
<g/>
,
Ferrerio	w6676
<g/>
,
Salviati	w6678
<g/>
,
Al-tieri	w6680
<g/>
-
<g/>
,
Albani	w6683
<g/>
,
Falconieri	w6685
<g/>
,
und	w6687
Banchieri	w6688
<g/>
,
auf	w6690
dem	w6691
Vatican	w6692
in	w6693
dem	w6694
Geistlichen	w6695
Gewand	w6696
<g/>
=
Zimmer	w6698
versammelt	w6699
hatten	w6700
<g/>
/
hielten	w6702
sie	w6703
die	w6704
er=ste	w6705
<g/>
=
Congregation	w6707
<g/>
,
in	w6709
welcher	w6710
der	w6711
Fischer	w6712
<g/>
=
Ring	w6714
<g/>
/
und	w6716
das	w6717
Bley	w6718
<g/>
=
Sigill	w6720
der	w6721
Päpstl	w6722
<g/>
.
Cantz=ley	w6724
<g/>
=
zerbrochen	w6726
<g/>
:
die	w6728
zu	w6729
Erwehlung	w6730
des	w6731
künfti=gen	w6732
<g/>
=
Papsten	w6734
gehörende	w6735
Satzungen	w6736
Gregorii	w6737
X	w6738
<g/>
.
<g/>
,
Julii	w6741
II	w6742
<g/>
.
<g/>
,
Pii	w6745
IV	w6746
<g/>
.
<g/>
,
Gregori	w6749
XV	w6750
<g/>
.
<g/>
,
und	w6753
Urba-ni	w6754
<g/>
-
des	w6756
VIII	w6757
<g/>
.
gelesen	w6759
<g/>
:
und	w6761
der	w6762
Monsig	w6763
<g/>
.
Joann	w6765
Baptist	w6766
Spinola	w6767
in	w6768
seinem	w6769
Amt	w6770
als	w6771
Guberna-tor	w6772
<g/>
-
von	w6774
Rom	w6775
bestättiget	w6776
wurde	w6777
<g/>
:
zum	w6779
Guber-nator	w6780
<g/>
-
des	w6782
Conclave	w6783
oder	w6784
des	w6785
sogenannten	w6786
Borgo	w6787
<g/>
,
ward	w6789
der	w6790
Monsig	w6791
<g/>
.
Joann	w6793
Baptist	w6794
Ari-berti	w6795
<g/>
-
<g/>
,
ein	w6798
Cremoneler	w6799
<g/>
/
und	w6801
Ertz	w6802
<g/>
=
Bischof	w6804
von	w6805
Palmira	w6806
<g/>
,
ernennet	w6808
<g/>
:
einem	w6810
P	w6811
<g/>
.
Domini-caner	w6813
<g/>
-
die	w6815
Leichen	w6816
<g/>
=
Predig	w6818
<g/>
;
und	w6820
die	w6821
Rede	w6822
zu	w6823
der	w6824
Wahl	w6825
eines	w6826
neuen	w6827
Papsten	w6828
dem	w6829
Monsig	w6830
<g/>
.
Cavalchini	w6832
<g/>
,
Ertz	w6834
<g/>
=
Bischoffen	w6836
von	w6837
Philippi	w6838
<g/>
,
und	w6840
Beförderern	w6841
des	w6842
Glaubens	w6843
<g/>
/
zu	w6845
halten	w6846
aufgetragen	w6847
<g/>
:
und	w6849
endlich	w6850
wurden	w6851
zu	w6852
Ober	w6853
<g/>
=
Aufseher	w6855
der	w6856
Bau	w6857
<g/>
=
Einrichtung	w6859
des	w6860
Conclave	w6861
Jhre	w6862
Eminenzen	w6863
die	w6864
Cardinäle	w6865
Zondodari	w6866
<g/>
,
Lorentz	w6868
Altieri	w6869
<g/>
,
und	w6871
Alexander	w6872
Albani	w6873
erweh=let	w6874
<g/>
=
<g/>
.
Nach	w6877
ge	w6878
<g/>
=
endigter	w6880
dieser	w6881
Congregation	w6882
begaben	w6883
sich	w6884
vorgenannte	w6885
Heren	w6886
Cardinäle	w6887
in	w6888
obbesagte	w6889
Capelle	w6890
des	w6891
H	w6892
<g/>
.
Sixti	w6894
<g/>
,
alwo	w6896
die	w6897
ge=sammte	w6898
<g/>
=
Geistlichkeit	w6900
der	w6901
Vaticanischen	w6902
Haupt	w6903
<g/>
=
Kirchen	w6905
mit	w6906
brennenden	w6907
Fackeln	w6908
in	w6909
der	w6910
Hand	w6911
stunde	w6912
<g/>
/
von	w6914
denen	w6915
Sängern	w6916
der	w6917
Päpstl	w6918
<g/>
.
Ca=pellen	w6920
<g/>
=
wurde	w6922
das	w6923
Subvenite	w6924
Sancti	w6925
DEI	w6926
<g/>
,
und	w6928
von	w6929
dem	w6930
mit	w6931
dem	w6932
Vesper	w6933
<g/>
=
Mantel	w6935
ange=thanen	w6936
<g/>
=
Hrn	w6938
<g/>
.
Ricci	w6940
dieser	w6941
Kirchen	w6942
Dom	w6943
<g/>
=
Herrn	w6945
das	w6946
Gebet	w6947
gesprochen	w6948
<g/>
;
sodann	w6950
gienge	w6951
die=ser	w6952
<g/>
=
Haupt	w6954
<g/>
=
Kirchen	w6956
Creutz	w6957
vorhin	w6958
<g/>
/
die	w6960
da=sige	w6961
<g/>
=
Geistlichkeit	w6963
aber	w6964
Processions	w6965
<g/>
=
Weise	w6967
nach	w6968
<g/>
;
</p>
<p id="p57">
dabey	w6970
wurde	w6971
von	w6972
vielen	w6973
aus	w6974
denen	w6975
Dom	w6976
<g/>
=
Her=ren	w6978
<g/>
=
die	w6980
von	w6981
der	w6982
Schweitzer	w6983
<g/>
=
Wacht	w6985
umgebene	w6986
Päpstl	w6987
<g/>
.
Leiche	w6989
in	w6990
die	w6991
Kirche	w6992
getragen	w6993
<g/>
/
und	w6995
fol=gelten	w6996
<g/>
=
hierauf	w6998
zwischen	w6999
denen	w7000
Wachten	w7001
ober=wehnte	w7002
<g/>
=
Herren	w7004
Cardinäle	w7005
<g/>
.
Da	w7007
nun	w7008
die	w7009
Bah=re	w7010
<g/>
=
mit	w7012
dem	w7013
Leichnam	w7014
mitten	w7015
in	w7016
der	w7017
Kirche	w7018
nieder	w7019
<g/>
=
gestellet	w7021
worden	w7022
<g/>
/
und	w7024
um	w7025
und	w7026
um	w7027
mit	w7028
Fackeln	w7029
umgeben	w7030
ware	w7031
<g/>
/
auch	w7033
die	w7034
Cardinäle	w7035
nach	w7036
ihrer	w7037
Ordnung	w7038
auf	w7039
die	w7040
Banke	w7041
niederge=sessen	w7042
<g/>
=
<g/>
/
sangen	w7045
die	w7046
Musici	w7047
der	w7048
Haupt	w7049
<g/>
=
Kirchen	w7051
das	w7052
Libera	w7053
<g/>
,
und	w7055
der	w7056
Monsig	w7057
<g/>
.
Nicolai	w7059
Ertz	w7060
<g/>
=
Bischof	w7062
von	w7063
Mira	w7064
<g/>
,
als	w7066
besagter	w7067
Haupt	w7068
<g/>
=
Kirch=chen	w7070
<g/>
=
Vicarius	w7072
gabe	w7073
in	w7074
Pontifical	w7075
<g/>
-
Habit	w7077
die	w7078
Absolution	w7079
<g/>
.
Und	w7081
da	w7082
endlichen	w7083
Jhre	w7084
Eminen=tzen	w7085
<g/>
=
die	w7087
Herren	w7088
Cardinäle	w7089
sich	w7090
hinweg	w7091
begeben	w7092
hatten	w7093
<g/>
/
wurde	w7095
die	w7096
Bahre	w7097
mit	w7098
dem	w7099
Päpstl	w7100
<g/>
.
Leich=nam	w7102
<g/>
=
in	w7104
die	w7105
Capelle	w7106
des	w7107
H	w7108
<g/>
.
Sacraments	w7110
getra=gen	w7111
<g/>
=
<g/>
/
um	w7114
alda	w7115
durch	w7116
3	w7117
<g/>
.
Täge	w7119
ausgesetzet	w7120
zu	w7121
verbleiben	w7122
<g/>
/
wehrender	w7124
welchen	w7125
Zeit	w7126
das	w7127
Volk	w7128
häufig	w7129
zuliefe	w7130
<g/>
/
und	w7132
dessen	w7133
Füsse	w7134
küssete	w7135
<g/>
.
Nach	w7137
<g/>
=
Mittag	w7139
verfügten	w7140
sich	w7141
die	w7142
Herren	w7143
Cardinäle	w7144
Ordens	w7145
<g/>
=
Häupter	w7147
<g/>
/
nemlichen	w7149
Franciscus	w7150
Bar-berini	w7151
<g/>
-
<g/>
,
Bischof	w7154
von	w7155
Ostia	w7156
und	w7157
Velletri	w7158
<g/>
,
und	w7160
Sub	w7161
<g/>
-
Diaconus	w7163
des	w7164
H	w7165
<g/>
.
Collegii	w7167
<g/>
,
in	w7169
Nah=men	w7170
<g/>
=
des	w7172
Cardinals	w7173
Pignatelli	w7174
abwesenden	w7175
Decani	w7176
<g/>
;
Josephus	w7178
Renatus	w7179
lmperiale	w7180
erster	w7181
Priester	w7182
mit	w7183
dem	w7184
Titul	w7185
von	w7186
S	w7187
<g/>
.
Laurentio	w7189
in	w7190
Lucina	w7191
<g/>
;
Hannibal	w7193
Albani	w7194
mit	w7195
dem	w7196
Titul	w7197
von	w7198
S	w7199
<g/>
.
Clemens	w7201
der	w7202
H	w7203
<g/>
.
Kirchen	w7205
Cæmmerling Caemmerling	w7206
<g/>
;
und	w7208
Laurentius	w7209
Altieri	w7210
<g/>
,
Diaconus	w7212
von	w7213
S	w7214
<g/>
.
Agatha	w7216
in	w7217
Suburra	w7218
<g/>
,
in	w7220
Nahmen	w7221
des	w7222
Card	w7223
<g/>
.
Pamfili	w7225
<g/>
,
ersten	w7227
Decani	w7228
von	w7229
S	w7230
<g/>
.
Maria	w7232
in	w7233
Via	w7234
Lata	w7235
<g/>
,
in	w7237
den	w7238
Pallast	w7239
obbesagten	w7240
Card	w7241
<g/>
.
Barbe-rini	w7243
<g/>
-
<g/>
,
um	w7246
alda	w7247
eine	w7248
Congregation	w7249
oder	w7250
Ver=sammlung	w7251
<g/>
=
zu	w7253
halten	w7254
<g/>
;
welche	w7256
Congregatio- nen	w7257
<g/>
-
zur	w7259
guten	w7260
Regierung	w7261
der	w7262
Stadt	w7263
<g/>
/
und	w7265
an=deren	w7266
<g/>
=
Geschäften	w7268
<g/>
/
bis	w7270
daß	w7271
die	w7272
Cardinäle	w7273
in	w7274
das	w7275
Conclave	w7276
werden	w7277
eingetretten	w7278
seyn	w7279
<g/>
/
all	w7281
<g/>
=
