<doc id="edoc_wd_1773-11-13" attrs="word" year="1773" month="11" day="13" corpus="1">
<head id="hl1">
Lißabon	w29
<g/>
.
gr	w12029
<g/>
.
8	w12031
<g/>
.
Nürnberg	w12033
1773	w12034
<g/>
.
3	w12036
fl	w12037
<g/>
.
beyde	w12039
Th	w12040
<g/>
.
6	w12042
fl	w12043
<g/>
.
Heisters	w12045
<g/>
(
Lorenz	w12047
<g/>
)
kleine	w12049
Chirurgie	w12050
<g/>
,
oder	w12052
Handbuch	w12053
der	w12054
Wundarzney	w12055
<g/>
,
in	w12057
welcher	w12058
ein	w12059
kurzer	w12060
doch	w12061
hinlänglicher	w12062
Unterricht	w12063
von	w12064
dieser	w12065
Wissenschaft	w12066
gegeben	w12067
<g/>
,
mit	w12069
Kupf	w12070
<g/>
.
gr	w12072
<g/>
.
8	w12074
<g/>
.
Nürnb	w12076
<g/>
.
1	w12078
fl	w12079
<g/>
.
30	w12081
kr	w12082
<g/>
.
Wappenbuch	w12084
<g/>
(
vollständiges	w12086
<g/>
)
der	w12088
durchlauchtigen	w12089
Welt	w12090
<g/>
,
nach	w12092
den	w12093
Regeln	w12094
der	w12095
Heraldik	w12096
3	w12097
Th	w12098
<g/>
.
mit	w12100
vielen	w12101
Kupf	w12102
<g/>
.
gr	w12104
<g/>
.
8	w12106
<g/>
.
Nürnb	w12108
<g/>
.
1773	w12110
<g/>
.
9	w12112
fl	w12113
<g/>
.
Renati	w12115
<g/>
(
flavii	w12117
Vegetii	w12118
<g/>
)
de	w12120
Re	w12121
Militari	w12122
Libri	w12123
Quinque	w12124
<g/>
,
cum	w12126
Selectis	w12127
Notis	w12128
Godes	w12129
<g/>
.
Stevvechii	w12131
<g/>
,
<g/>
&
Pet	w12134
<g/>
.
Scriverii	w12136
<g/>
,
nec	w12138
non	w12139
ad	w12140
Codicum	w12141
Manuscriptorum	w12142
fidem	w12143
<g/>
,
notis	w12145
perpetuis	w12146
criticis	w12147
emendati	w12148
<g/>
,
addita	w12150
Versione	w12151
gallica	w12152
<g/>
,
cura	w12154
Nicolai	w12155
Schwebelii	w12156
<g/>
.
4	w12158
<g/>
.
maj	w12160
<g/>
.
3	w12162
fl	w12163
<g/>
.
Geschichte	w12165
von	w12166
Paraguay	w12167
und	w12168
dem	w12169
Mißionswercke	w12170
der	w12171
Jesuiten	w12172
in	w12173
diesem	w12174
Lande	w12175
<g/>
,
aus	w12177
dem	w12178
Franz	w12179
<g/>
.
des	w12181
P	w12182
<g/>
.
Franz	w12184
<g/>
.
Xav	w12186
<g/>
.
de	w12188
Charlevoix	w12189
<g/>
.
2	w12191
Th	w12192
<g/>
.
mit	w12194
einer	w12195
Charte	w12196
vom	w12197
südlichen	w12198
Amerika	w12199
gr	w12200
<g/>
.
8	w12202
<g/>
.
3	w12204
fl	w12205
Versuch	w12206
eines	w12207
Elementarbuchs	w12208
<g/>
,
für	w12210
Kinder	w12211
<g/>
,
durch	w12213
Abbildung	w12214
der	w12215
merkwürdigsten	w12216
Dinge	w12217
<g/>
,
und	w12219
der=selben	w12220
<g/>
=
deutschen	w12222
<g/>
,
lateinischen	w12224
<g/>
,
franzosischen	w12226
und	w12227
itallänischen	w12228
Benennungen	w12229
8	w12230
<g/>
.
Nürnberg	w12232
<g/>
.
1770	w12234
<g/>
.
1	w12236
fl	w12237
<g/>
.
Teichmeyer	w12239
<g/>
(
Hrm	w12241
<g/>
.
Friedr	w12243
<g/>
.
<g/>
)
Anweisung	w12246
zur	w12247
gerichtl	w12248
<g/>
.
Arzneygelahrtheit	w12250
<g/>
,
4	w12252
<g/>
.
Nürnberg	w12254
1761	w12255
<g/>
.
45	w12257
kr	w12258
Wohleingerichtetes	w12259
A	w12260
<g/>
.
B	w12262
<g/>
.
C	w12264
<g/>
.
Buchstabier	w12266
und	w12267
Lese	w12268
Büchlein	w12269
<g/>
,
mit	w12271
illuminirten	w12272
Figuren	w12273
zum	w12274
Nu=tzen	w12275
<g/>
=
und	w12277
Vergnügen	w12278
der	w12279
Jugend	w12280
<g/>
.
8	w12282
<g/>
.
30	w12284
kr	w12285
<g/>
.
</list>
<list id="">
<g/>
--
dasselbe	w12288
Buch	w12289
<g/>
,
mit	w12291
illuminierten	w12292
Figuren	w12293
<g/>
.
3	w12295
fl	w12296
<g/>
.
</list>
<p id="p178">
Dienstag	w12310
den	w12311
16	w12312
<g/>
.
Novemb	w12314
<g/>
.
werden	w12316
in	w12317
der	w12318
Kärnt=nerstraß	w12319
<g/>
=
im	w12321
Sterneckischen	w12322
Haus	w12323
sub	w12324
Nro	w12325
<g/>
.
1079	w12327
<g/>
.
in	w12329
2	w12330
<g/>
.
Stock	w12332
<g/>
,
verschiedene	w12334
schöne	w12335
französische	w12336
Ku=pferstich	w12337
<g/>
=
in	w12339
grun	w12340
laquirten	w12341
Rahmen	w12342
mit	w12343
Gläser	w12344
<g/>
,
dann	w12346
deto	w12347
in	w12348
schwarzen	w12349
Rahmen	w12350
<g/>
,
und	w12352
verschiede=ne	w12353
<g/>
=
schone	w12355
Mahlerepen	w12356
<g/>
,
verschiedene	w12358
Sammlungen	w12359
von	w12360
Papillions	w12361
<g/>
,
ein	w12363
graßer	w12364
Spiegel	w12365
<g/>
,
2	w12367
Mar=morsteinene	w12368
<g/>
=
Tromotisch	w12370
<g/>
,
1	w12372
schöner	w12373
neu	w12374
gefaßter	w12375
Altarkasten	w12376
<g/>
,
Soffen	w12378
<g/>
,
Bettstatt	w12380
mit	w12381
Copertdecken	w12382
von	w12383
Damast	w12384
<g/>
,
und	w12386
unterschiedlichen	w12387
Geräthschaften	w12388
Vormittag	w12389
von	w12390
9	w12391
bis	w12392
12	w12393
<g/>
=
Nachmittag	w12395
von	w12396
3	w12397
bis	w12398
6	w12399
Uhr	w12400
licitando	w12401
hindann	w12402
gegeben	w12403
werden	w12404
<g/>
.
</p>
<p id="p179">
Dienstag	w12406
den	w12407
16	w12408
<g/>
.
Novemb	w12410
<g/>
.
werden	w12412
Vormittag	w12413
von	w12414
9	w12415
bis	w12416
12	w12417
Uhr	w12418
<g/>
,
und	w12420
Nachmittag	w12421
von	w12422
3	w12423
bis	w12424
6	w12425
Uhr	w12426
<g/>
,
in	w12428
der	w12429
k	w12430
k	w12431
<g/>
.
alten	w12433
Stallburg	w12434
zur	w12435
ebner	w12436
Erden	w12437
linker	w12438
Seits	w12439
<g/>
,
verschiedene	w12441
Geschmuck	w12442
<g/>
=
Gold	w12444
<g/>
=
Silber	w12446
<g/>
=
und	w12448
derley	w12449
Waaren	w12450
<g/>
,
als	w12452
nämli=chen	w12453
<g/>
=
verschiedene	w12455
ledige	w12456
Brillanten	w12457
<g/>
,
Rauten	w12459
<g/>
,
sonst	w12461
gefärbte	w12462
ledige	w12463
gute	w12464
Stein	w12465
von	w12466
zerschiedienen	w12467
Gattungen	w12468
<g/>
,
auch	w12470
sonst	w12471
gefaßte	w12472
Geschmuckwaaren	w12473
<g/>
,
dann	w12475
ein	w12476
goldener	w12477
Stockknopf	w12478
<g/>
,
deto	w12480
Tabatier	w12481
<g/>
,
goldene	w12483
repetir	w12484
<g/>
=
wie	w12486
auch	w12487
eine	w12488
silberne	w12489
Sackuhr	w12490
<g/>
,
und	w12492
andere	w12493
derley	w12494
silberne	w12495
Effekten	w12496
nebst	w12497
dem	w12498
sammentlichen	w12499
Goldarbeiterwerkzeug	w12500
gegen	w12501
baa=ter	w12502
<g/>
=
Bezahlung	w12504
licitando	w12505
verkauffet	w12506
<g/>
.
</p>
<p id="p180">
Den	w12508
16	w12509
<g/>
.
Novemb	w12511
<g/>
.
und	w12513
folgende	w12514
Täge	w12515
werden	w12516
bey	w12517
den	w12518
Minoriten	w12519
ruckwärts	w12520
des	w12521
Graf	w12522
Uhlfeldi=schen	w12523
<g/>
=
Hauses	w12525
im	w12526
gräfl	w12527
<g/>
.
Ogilvpschen	w12529
Haus	w12530
an	w12531
der	w12532
Löwelbastey	w12533
Nro	w12534
<g/>
.
35	w12536
<g/>
.
im	w12538
ersten	w12539
Stock	w12540
Vormit=tag	w12541
<g/>
=
von	w12543
9	w12544
bis	w12545
12	w12546
<g/>
,
und	w12548
Nachmittag	w12549
von	w12550
3	w12551
bis	w12552
6	w12553
Uhr	w12554
verschiedene	w12555
Effekten	w12556
<g/>
,
eine	w12558
Stockuhr	w12559
mit	w12560
ei=nem	w12561
<g/>
=
Spielwerk	w12563
<g/>
,
ein	w12565
französisch	w12566
Bett	w12567
<g/>
,
samt	w12569
Vor=hänge	w12570
<g/>
=
von	w12572
roth	w12573
und	w12574
weißgestreiften	w12575
Atlaß	w12576
<g/>
,
derglei=chen	w12578
<g/>
=
Spallier	w12580
<g/>
,
Rastbett	w12582
<g/>
,
Soffen	w12584
<g/>
,
Canapee	w12586
und	w12587
Sesseln	w12588
vom	w12589
nämlichen	w12590
Atlaß	w12591
<g/>
,
roth	w12593
damastene	w12594
Betten	w12595
<g/>
,
Canapee	w12597
<g/>
,
Sesseln	w12599
<g/>
,
große	w12601
Spiegeln	w12602
<g/>
,
Kä=sten	w12604
<g/>
=
<g/>
,
Tische	w12607
<g/>
,
Bettstädte	w12609
und	w12610
Bettgewand	w12611
<g/>
,
Ku=pfer	w12613
<g/>
=
und	w12615
verschiedenes	w12616
Eisenwerk	w12617
gegen	w12618
baarer	w12619
Bezahlung	w12620
licitando	w12621
verkaufet	w12622
<g/>
.
</p>
<p id="p181">
Den	w12624
17ten	w12625
Novembris	w12626
werden	w12627
auf	w12628
dem	w12629
Frey=grund	w12630
<g/>
=
Sporkenbühel	w12632
<g/>
,
oder	w12634
Himmelpfortgrund	w12635
auf	w12636
der	w12637
Lichtenthaller	w12638
Hauptstrasse	w12639
Nro	w12640
<g/>
.
49	w12642
<g/>
.
zu	w12644
ebener	w12645
Erde	w12646
verschiedene	w12647
Verlassenschaftseffekten	w12648
<g/>
,
bestehend	w12650
in	w12651
Wäsch	w12652
<g/>
,
Kleidungen	w12654
dann	w12655
allerhand	w12656
sogenannter	w12657
kurzer	w12658
Kram	w12659
<g/>
=
Waare	w12661
<g/>
,
als	w12663
silber	w12664
<g/>
=
ge=schmolzen	w12666
<g/>
=
und	w12668
anderen	w12669
Tabackdosen	w12670
<g/>
,
glatt	w12672
silber=ne	w12673
<g/>
=
<g/>
=
dann	w12676
mit	w12677
Steinen	w12678
besetzten	w12679
dombackenen	w12680
<g/>
,
und	w12682
anderen	w12683
dergleichen	w12684
Schnallen	w12685
<g/>
,
verschiedene	w12687
Gat=tungen	w12688
<g/>
=
Ring	w12690
<g/>
,
Ohrgehäng	w12692
<g/>
,
Halsdänder	w12694
<g/>
,
Perlen	w12696
<g/>
,
guten	w12698
und	w12699
anderen	w12700
Granaten	w12701
<g/>
,
Hemd	w12703
<g/>
=
und	w12705
andern	w12706
Knopfeln	w12707
<g/>
,
Uhr	w12709
<g/>
=
und	w12711
Stockbändern	w12712
<g/>
,
Schuschu	w12714
<g/>
,
Geschmucknadel	w12716
<g/>
,
Tabackpfeifen	w12718
<g/>
,
Sigelwachs	w12720
<g/>
,
und	w12722
</p>
<p id="p182">
dergleichen	w12723
<g/>
,
fruhe	w12725
von	w12726
9	w12727
<g/>
.
bis	w12729
12	w12730
<g/>
.
Uhr	w12732
und	w12733
Nach=mittag	w12734
<g/>
=
von	w12736
3	w12737
<g/>
.
bis	w12739
6	w12740
Uhr	w12741
licitando	w12742
dem	w12743
Meistbie=tenden	w12744
<g/>
=
gegen	w12746
alsogleich	w12747
baarer	w12748
Bezahlnug	w12749
hin=dann	w12750
<g/>
=
gelassen	w12752
werden	w12753
<g/>
.
</p>
<p id="p183">
Den	w12755
16	w12756
<g/>
.
des	w12758
Monats	w12759
Novombris	w12760
<g/>
,
und	w12762
nach=folgende	w12763
<g/>
=
Täge	w12765
<g/>
,
vormittag	w12767
von	w12768
9	w12769
bis	w12770
12	w12771
und	w12772
nach=mittag	w12773
<g/>
=
von	w12775
3	w12776
bis	w12777
6	w12778
Uhr	w12779
<g/>
,
wird	w12781
auf	w12782
dem	w12783
hohen	w12784
Markte	w12785
Nro	w12786
<g/>
.
526	w12788
<g/>
,
in	w12790
dem	w12791
vorhin	w12792
Fernerischen	w12793
<g/>
,
nunmehro	w12795
Appoldischen	w12796
Haus	w12797
<g/>
,
im	w12799
2	w12800
<g/>
.
Stock	w12802
<g/>
,
auf	w12804
der	w12805
hinteren	w12806
Stiegen	w12807
<g/>
,
die	w12809
bekannte	w12810
Briffaut	w12811
von	w12812
Slawietinische	w12813
Bibliotheck	w12814
dem	w12815
Meistbithen=den	w12816
<g/>
=
gegen	w12818
baare	w12819
Bezahlung	w12820
einzeln	w12821
hindangege=ben	w12822
<g/>
=
werden	w12824
<g/>
.
Sie	w12826
enthält	w12827
in	w12828
sich	w12829
die	w12830
auserleßne=ste	w12831
<g/>
=
<g/>
,
mehrerntheils	w12834
gebundene	w12835
Bücher	w12836
<g/>
,
von	w12838
allen	w12839
Gattungen	w12840
sowohl	w12841
geistl	w12842
<g/>
.
als	w12844
weltl	w12845
<g/>
.
Gelahrheit	w12847
in	w12848
verschiedenen	w12849
Sprachen	w12850
<g/>
,
nebst	w12852
vielen	w12853
Kupfern	w12854
<g/>
,
und	w12856
Landkarten	w12857
von	w12858
denen	w12859
fürtreflichsten	w12860
Künstlern	w12861
<g/>
,
und	w12863
wird	w12864
der	w12865
Katalogus	w12866
hiervon	w12867
in	w12868
der	w12869
Schuler=straße	w12870
<g/>
=
in	w12872
der	w12873
Winklerischen	w12874
Buchhandlung	w12875
zur	w12876
goldenen	w12877
Sonne	w12878
gewöhnlichermassen	w12879
ausgegeben	w12880
<g/>
,
auch	w12882
zu	w12883
mehrern	w12884
Behuf	w12885
derer	w12886
<g/>
,
welche	w12888
der	w12889
Licita=rion	w12890
<g/>
=
nicht	w12892
beywohnen	w12893
können	w12894
<g/>
,
eben	w12896
alldorten	w12897
Commissionen	w12898
angenommen	w12899
werden	w12900
<g/>
;
doch	w12902
sollen	w12903
die	w12904
respektive	w12905
Bücherliebhabere	w12906
den	w12907
Preiß	w12908
<g/>
,
bis	w12910
wie	w12911
hoch	w12912
man	w12913
sich	w12914
etwan	w12915
einzulassen	w12916
habe	w12917
<g/>
,
bestimmen	w12919
<g/>
,
und	w12921
das	w12922
baare	w12923
Geld	w12924
zum	w12925
Kaufe	w12926
einlegen	w12927
<g/>
.
</p>
<p id="p184">
Wir	w12929
Burgermeister	w12930
und	w12931
Rath	w12932
der	w12933
Stadt	w12934
Wien	w12935
<g/>
,
geben	w12937
hiemit	w12938
jedermann	w12939
zu	w12940
vernehmen	w12941
<g/>
;
Es	w12943
seye	w12944
über	w12945
die	w12946
schon	w12947
ehedessen	w12948
angeordneten	w12949
Licitations=tagsatzungen	w12950
<g/>
=
auf	w12952
Anlangen	w12953
des	w12954
gerichtl	w12955
<g/>
.
verordnet	w12957
Valentin	w12958
Kleinischen	w12959
Curatoris	w12960
Hrn	w12961
<g/>
.
Anton	w12963
Panstingl	w12964
J	w12965
<g/>
.
U	w12967
<g/>
.
D	w12969
<g/>
.
auch	w12971
Hof	w12972
<g/>
=
und	w12974
Gerichtsad=vokatens	w12975
<g/>
=
verwilliget	w12977
worden	w12978
<g/>
,
das	w12980
Kleinisch	w12981
im	w12982
Hutsteppergäßl	w12983
sub	w12984
Nro	w12985
<g/>
.
630	w12987
in	w12988
der	w12989
Stadt	w12990
lie=gende	w12991
<g/>
=
Haus	w12993
abermal	w12994
öffentlich	w12995
auszufeilen	w12996
<g/>
,
und	w12998
an	w12999
den	w13000
Meistbietenden	w13001
zu	w13002
verkaufen	w13003
<g/>
.
Da	w13005
nun	w13006
zu	w13007
diesen	w13008
Ende	w13009
der	w13010
19	w13011
<g/>
.
Novemb	w13013
<g/>
.
dies	w13015
Jahrs	w13016
be=stimmet	w13017
<g/>
=
ist	w13019
<g/>
.
So	w13021
haben	w13022
diejenige	w13023
<g/>
,
welche	w13025
das	w13026
gedachte	w13027
Haus	w13028
zu	w13029
kaufen	w13030
Willens	w13031
sind	w13032
<g/>
,
an	w13034
den	w13035
bestimmten	w13036
Tag	w13037
<g/>
,
oder	w13039
da	w13040
wir	w13041
anderer	w13042
Verhin=dernissen	w13043
<g/>
=
halber	w13045
diesen	w13046
Tag	w13047
nicht	w13048
zu	w13049
Rath	w13050
sässen	w13051
<g/>
,
den	w13053
nächst	w13054
darauf	w13055
folgenden	w13056
Rathstag	w13057
fruh	w13058
um	w13059
8	w13060
Uhr	w13061
vor	w13062
uns	w13063
zu	w13064
erscheinen	w13065
<g/>
,
und	w13067
sich	w13068
bey	w13069
un=serer	w13070
<g/>
=
<g/>
,
und	w13073
gemeiner	w13074
Stadt	w13075
Wien	w13076
Pupillen=raithkammer	w13077
<g/>
=
durch	w13079
den	w13080
Amtsschreiber	w13081
anmelden	w13082
zu	w13083
lassen	w13084
<g/>
,
folglich	w13086
der	w13087
weiteren	w13088
Behandlung	w13089
abzu=warten	w13090
<g/>
=
<g/>
,
hierzu	w13093
aber	w13094
die	w13095
Satzereditores	w13096
sich	w13097
also=gewiß	w13098
<g/>
=
um	w13100
bessere	w13101
Käuffer	w13102
zu	w13103
bewerben	w13104
<g/>
,
wie	w13106
im	w13107
widrigen	w13108
das	w13109
Haus	w13110
allenfalls	w13111
auch	w13112
unter	w13113
der	w13114
Schätzung	w13115
hindann	w13116
gegeben	w13117
werden	w13118
würde	w13119
<g/>
.
</p>
<p id="p185">
Wir	w13121
Burgermeister	w13122
und	w13123
Rath	w13124
der	w13125
Stndt	w13126
Wien	w13127
geben	w13128
hiemit	w13129
jedermann	w13130
zu	w13131
vernehmen	w13132
<g/>
;
Es	w13134
seye	w13135
</p>
<p id="p186">
über	w13136
die	w13137
schon	w13138
ehedessen	w13139
angeordnete	w13140
Licitations=tagsatzung	w13141
<g/>
=
verwilliget	w13143
worden	w13144
<g/>
,
die	w13146
in	w13147
die	w13148
Maper=hoferische	w13149
<g/>
=
Verlassenschaft	w13151
gehörig	w13152
<g/>
=
und	w13154
auf	w13155
dem	w13156
Althanischen	w13157
Grund	w13158
<g/>
,
liegende	w13160
Eißgrube	w13161
aber=mal	w13162
<g/>
=
öffentlich	w13164
auszufeilen	w13165
<g/>
,
und	w13167
an	w13168
den	w13169
Meist=bietenden	w13170
<g/>
=
zu	w13172
verkaufen	w13173
<g/>
;
Da	w13175
nun	w13176
zu	w13177
diesem	w13178
Ende	w13179
der	w13180
13	w13181
<g/>
.
Deremb	w13183
<g/>
.
dieß	w13185
Jahrs	w13186
bestimmet	w13187
ist	w13188
<g/>
.
So	w13190
haben	w13191
diejenigen	w13192
<g/>
,
welche	w13194
die	w13195
gedachte	w13196
Eißgrube	w13197
zu	w13198
kaufen	w13199
Willens	w13200
sind	w13201
<g/>
,
an	w13203
dem	w13204
bestimmten	w13205
Tage	w13206
<g/>
,
oder	w13208
da	w13209
wir	w13210
anderer	w13211
Verhindernüssen	w13212
halber	w13213
diesen	w13214
Tag	w13215
nicht	w13216
zu	w13217
Rath	w13218
sässen	w13219
<g/>
,
den	w13221
nächstdarauffol=genden	w13222
<g/>
=
Rathstag	w13224
frühe	w13225
um	w13226
8	w13227
<g/>
.
Uhr	w13229
vor	w13230
uns	w13231
zu	w13232
erscheinen	w13233
<g/>
,
und	w13235
sich	w13236
bey	w13237
unserer	w13238
<g/>
,
und	w13240
gemeiner	w13241
Stadt	w13242
Wien	w13243
Pupillenraitkammer	w13244
durch	w13245
den	w13246
Amts=schreiber	w13247
<g/>
=
anmelden	w13249
zu	w13250
lassen	w13251
<g/>
,
folglich	w13253
der	w13254
weiteren	w13255
Behandlung	w13256
abzuwarten	w13257
<g/>
.
</p>
<p id="p187">
Nachdeme	w13259
der	w13260
ehemalige	w13261
hiesige	w13262
Obersäger	w13263
Ge=org	w13264
<g/>
=
Jgnaz	w13266
Kunitzky	w13267
mit	w13268
Hinterlaßung	w13269
verschiede=ner	w13270
<g/>
=
herrschaftl	w13272
<g/>
.
Cassen	w13274
<g/>
=
auch	w13276
anderen	w13277
Privatschul=den	w13278
<g/>
=
heimlich	w13280
davon	w13281
gegangen	w13282
<g/>
,
und	w13284
sich	w13285
bißher	w13286
weder	w13287
gemeldet	w13288
<g/>
,
noch	w13290
weniger	w13291
zu	w13292
deren	w13293
Berichti=gung	w13294
<g/>
=
Anstalt	w13296
gemacht	w13297
<g/>
;
Als	w13299
swird	w13300
von	w13301
gräfl	w13302
<g/>
.
Die=trichstein	w13304
<g/>
=
<g/>
=
Proskauis	w13307
<g/>
.
Justitiariatamts	w13309
wegen	w13310
obbe=nannter	w13311
<g/>
=
Georg	w13313
Jgnaz	w13314
Kunitzey	w13315
hiedurch	w13316
ediktaliter	w13317
adcitirt	w13318
und	w13319
vorgeladen	w13320
<g/>
,
binnen	w13322
Dato	w13323
und	w13324
6	w13325
Wochen	w13326
<g/>
,
peremtorie	w13328
aber	w13329
auf	w13330
den	w13331
13	w13332
<g/>
.
Decemb	w13334
<g/>
.
an	w13336
<g/>
.
currentis	w13338
vor	w13339
dem	w13340
Justitiariatamt	w13341
zu	w13342
erschei=nen	w13343
<g/>
=
<g/>
,
und	w13346
sich	w13347
mit	w13348
denen	w13349
Creditoribus	w13350
gehörig	w13351
abzu=sinden	w13352
<g/>
=
<g/>
,
widrigenfalls	w13355
die	w13356
Forderungen	w13357
der	w13358
Gläu=biger	w13359
<g/>
=
vor	w13361
Liquide	w13362
werden	w13363
angenommen	w13364
<g/>
,
und	w13366
sel=bige	w13367
<g/>
=
sowohl	w13369
aus	w13370
denen	w13371
zurückgelaßenen	w13372
wenigen	w13373
Mobilien	w13374
<g/>
,
als	w13376
auch	w13377
aus	w13378
seinen	w13379
eventualiter	w13380
in	w13381
Beschlag	w13382
genommenen	w13383
ausländischen	w13384
Vermögen	w13385
<g/>
,
soweit	w13387
solches	w13388
zureichet	w13389
<g/>
,
befriediget	w13391
werden	w13392
<g/>
.
Wie	w13394
denn	w13395
auch	w13396
unter	w13397
einem	w13398
die	w13399
etwan	w13400
noch	w13401
unbekann=te	w13402
<g/>
=
Creditores	w13404
ad	w13405
cund	w13406
<g/>
.
Term	w13408
<g/>
.
ad	w13410
liquid	w13411
<g/>
.
<g/>
&
justit	w13414
<g/>
.
vorgeladen	w13416
werden	w13417
<g/>
.
Schloß	w13419
Proskau	w13420
in	w13421
Schleßien	w13422
<g/>
,
den	w13424
28	w13425
<g/>
.
Weinmon	w13427
<g/>
.
1773	w13429
<g/>
.
</p>
<p id="p188">
Von	w13431
des	w13432
k	w13433
<g/>
.
k	w13435
<g/>
.
Jud	w13437
<g/>
.
Deleg	w13439
<g/>
.
Milit	w13441
<g/>
.
Mixti	w13443
Mixtiim	w13444
Erzherzogthum	w13445
Oesterreich	w13446
unter	w13447
und	w13448
ob	w13449
der	w13450
Enns	w13451
wegen	w13452
<g/>
,
wird	w13454
mit	w13455
gegenwärtig	w13456
offenen	w13457
Edikt	w13458
je=dermänniglich	w13459
<g/>
=
sowohl	w13461
An	w13462
<g/>
=
als	w13464
Aowesenden	w13465
kund	w13466
<g/>
,
und	w13468
zu	w13469
wissen	w13470
gemacht	w13471
<g/>
;
Es	w13473
habe	w13474
dieses	w13475
k	w13476
<g/>
.
k	w13478
<g/>
.
Jud	w13480
<g/>
.
Deleg	w13482
<g/>
.
Milit	w13484
Mixt	w13485
<g/>
.
nach	w13487
untern	w13488
4	w13489
August	w13490
dies	w13491
Jahrs	w13492
zu	w13493
Frankenmark	w13494
in	w13495
ober	w13496
Oesterreich	w13497
erfolgt	w13498
zeitlichen	w13499
Hintritt	w13500
des	w13501
bey	w13502
dem	w13503
alldasigen	w13504
Desertionscordon	w13505
angestellt	w13506
gewesten	w13507
Fouriers	w13508
Heinrich	w13509
Eisemann	w13510
<g/>
,
zu	w13512
Ausfindigmachung	w13513
dessen	w13514
etwa	w13515
vorhandenen	w13516
ærisaeris	w13517
alieni	w13518
<g/>
,
folgends	w13520
auch	w13521
zu	w13522
desto	w13523
sicherer	w13524
Abhandlung	w13525
sothaner	w13526
Verlassen=schaft	w13527
<g/>
=
vor	w13529
nöthig	w13530
befunden	w13531
<g/>
,
die	w13533
sammentliche	w13534
so=wohl	w13535
<g/>
=
in	w13537
<g/>
=
als	w13539
außer	w13540
Landes	w13541
befindliche	w13542
Fourier	w13543
Heinrich	w13544
Eisemannische	w13545
Gläubigere	w13546
zu	w13547
Anmeld	w13548
<g/>
=
und	w13550
Liquidirung	w13551
ihrer	w13552
an	w13553
sothaner	w13554
Verlassenschaft	w13555
zu	w13556
stellen	w13557
habenden	w13558
Sprüch	w13559
<g/>
=
und	w13561
Forderungen	w13562
ge=richtlich	w13563
<g/>
=
vorzuladen	w13565
<g/>
,
und	w13567
einzuberufen	w13568
<g/>
,
Da	w13570
nun	w13571
</p>
<p id="p189">
auf	w13572
gehorsamstes	w13573
Anlangen	w13574
des	w13575
zu	w13576
Vertrett	w13577
<g/>
=
und	w13579
Richtigstellung	w13580
sothaner	w13581
Verlassenschaft	w13582
gerichtl	w13583
<g/>
.
verordneter	w13585
Curatoris	w13586
Joseph	w13587
Skeyde	w13588
<g/>
,
k	w13590
<g/>
.
k	w13592
<g/>
.
Kriegsagentens	w13594
<g/>
,
der	w13596
9	w13597
Decemb	w13598
<g/>
.
dies	w13600
Jahrs	w13601
fruh	w13602
um	w13603
9	w13604
Uhr	w13605
zur	w13606
gewöhnlichen	w13607
Convocation	w13608
<g/>
=
und	w13610
Anmeldungstagsatzung	w13611
zu	w13612
allendlicher	w13613
Frist	w13614
an=beraumet	w13615
<g/>
=
worden	w13617
<g/>
;
Solchemnach	w13619
werden	w13620
alle	w13621
und	w13622
jede	w13623
<g/>
,
welche	w13625
an	w13626
gedacht	w13627
Fourier	w13628
Heinrich	w13629
Eiseman=nischen	w13630
<g/>
=
Verlassenschaft	w13632
<g/>
,
um	w13634
rechtmäßiger	w13635
For=derung	w13636
<g/>
=
willen	w13638
einige	w13639
Spruche	w13640
haben	w13641
<g/>
,
oder	w13643
zu	w13644
haben	w13645
vermeinen	w13646
<g/>
,
an	w13648
obbestimmten	w13649
Tag	w13650
und	w13651
Stund	w13652
in	w13653
der	w13654
Wallnerstrasse	w13655
im	w13656
Kaiserpaus	w13657
im	w13658
1	w13659
Stock	w13660
besindlichen	w13661
Kanzley	w13662
dieses	w13663
k	w13664
<g/>
.
k	w13666
<g/>
.
Judicii	w13668
Delegati	w13669
Militaris	w13670
Mixti	w13671
entweder	w13672
selbst	w13673
Per=sonlich	w13674
<g/>
=
<g/>
,
oder	w13677
durch	w13678
hierzu	w13679
genugsam	w13680
bevollmäch=tigte	w13681
<g/>
=
Gewalttragere	w13683
alsogewiß	w13684
zu	w13685
erscheinen	w13686
und	w13687
ihre	w13688
an	w13689
sothaner	w13690
Verlassenschaft	w13691
habende	w13692
Anfor=derungen	w13693
<g/>
=
mittelst	w13695
Einlegung	w13696
der	w13697
mit	w13698
behörigen	w13699
Stempel	w13700
versehenen	w13701
Liquidations	w13702
<g/>
=
und	w13704
resp	w13705
<g/>
.
Legiti=mationsdokumenten	w13707
<g/>
=
anzumelden	w13709
haben	w13710
<g/>
,
als	w13712
im	w13713
widrigen	w13714
die	w13715
Abhandlung	w13716
ohne	w13717
weiteren	w13718
zu	w13719
war=ten	w13720
<g/>
=
vorgenommen	w13722
<g/>
,
und	w13724
ungehindert	w13725
deren	w13726
etwa	w13727
vorhandenen	w13728
Glaubigeren	w13729
<g/>
,
welche	w13731
sich	w13732
mit	w13733
ihren	w13734
Anforderungen	w13735
in	w13736
dieser	w13737
bestimmten	w13738
Zeit	w13739
nicht	w13740
angemelder	w13741
<g/>
,
sothane	w13743
Verlassenschaft	w13744
dem	w13745
dies=fällig	w13746
<g/>
=
per	w13748
