<doc id="edoc_wd_1766-04-09" attrs="word" year="1766" month="04" day="09" corpus="1">
<head id="hl1">
Staatssachen	w49
.
alt	w5299
45	w5300
<g/>
.
J	w5302
<g/>
.
Barb	w5304
<g/>
.
Niklin	w5306
<g/>
,
im	w5308
Sonnenhof	w5309
<g/>
,
alt	w5311
66	w5312
<g/>
.
J	w5314
<g/>
.
Summa	w5316
9	w5317
<g/>
.
Pers	w5319
<g/>
.
darunter	w5321
2	w5322
<g/>
.
Kind	w5324
<g/>
.
</list>
<head id="hl13">
Den	w5326
6	w5327
<g/>
.
April	w5329
<g/>
.
Jn	w5331
der	w5332
Stadt	w5333
<g/>
.
</head>
<list id="">
Der	w5335
Wohlehrw	w5336
<g/>
.
P	w5338
<g/>
.
Cordian	w5340
Mayer	w5341
<g/>
,
Ord	w5343
<g/>
.
Min	w5345
<g/>
.
.S	w5347
<g/>
.
Franc	w5349
<g/>
.
im	w5351
Klost	w5352
<g/>
.
hintern	w5354
Landh	w5355
<g/>
.
alt	w5357
60	w5358
<g/>
.
J	w5360
<g/>
.
Der	w5362
hochedelgeb	w5363
<g/>
.
Hr	w5365
<g/>
.
Joh	w5367
<g/>
.
Nic	w5369
<g/>
.
Dresenreuter	w5371
von	w5372
Teutschenbrunn	w5373
<g/>
,
Höchst	w5375
<g/>
.
Brandenb	w5377
<g/>
.
Culmbach	w5379
<g/>
.
Justizraht	w5381
<g/>
,
im	w5383
Stephanis	w5384
<g/>
.
H	w5386
<g/>
.
am	w5388
Haidens	w5389
<g/>
.
22	w5391
J	w5392
<g/>
.
Dem	w5394
Wohledeln	w5395
Hrn	w5396
<g/>
.
Joh	w5398
<g/>
.
Jac	w5400
<g/>
.
Biwald	w5402
<g/>
,
K	w5404
<g/>
.
K	w5406
<g/>
.
alter	w5408
Leibgarde	w5409
Adiut	w5410
<g/>
.
s	w5412
<g/>
.
Fr	w5414
<g/>
.
Cath	w5416
<g/>
.
im	w5418
Schusteris	w5419
<g/>
.
H	w5421
<g/>
.
in	w5423
der	w5424
Römerstr	w5425
<g/>
.
alt	w5427
66	w5428
<g/>
.
J	w5430
<g/>
.
Joh	w5432
<g/>
.
Reichart	w5434
<g/>
,
gew	w5436
<g/>
.
Burgl	w5438
<g/>
.
Greißler	w5440
<g/>
,
im	w5442
Aumüll=neris	w5443
<g/>
=
<g/>
.
H	w5446
<g/>
.
im	w5448
Krautgäs	w5449
<g/>
.
alt	w5451
68	w5452
<g/>
.
J	w5454
<g/>
.
Jos	w5456
<g/>
.
Grieß	w5458
<g/>
,
gew	w5460
<g/>
.
Arceßist	w5462
bey	w5463
der	w5464
Jnval	w5465
<g/>
.
Cassa	w5467
<g/>
,
beyn	w5469
schw	w5470
<g/>
.
Thor	w5472
in	w5473
der	w5474
Schenkenstr	w5475
<g/>
.
alt	w5477
38	w5478
<g/>
.
J	w5480
<g/>
.
</list>
<head id="hl14">
Vor	w5482
der	w5483
Stadt	w5484
<g/>
.
</head>
<list id="">
Der	w5486
Wohledelgeb	w5487
<g/>
.
Hr	w5489
<g/>
.
Philipp	w5491
v	w5492
<g/>
.
Solte	w5494
<g/>
,
gew	w5496
<g/>
.
K	w5498
<g/>
.
K	w5500
<g/>
.
Resident	w5502
in	w5503
Portugall	w5504
<g/>
,
beym	w5506
Rinocero	w5507
zu	w5508
Ni=colstorf	w5509
<g/>
=
<g/>
,
alt	w5512
73	w5513
<g/>
.
J	w5515
<g/>
.
Marg	w5517
<g/>
.
Frankin	w5519
<g/>
,
led	w5521
<g/>
.
St	w5523
<g/>
.
so	w5525
sich	w5526
zu	w5527
Todt	w5528
gefallen	w5529
<g/>
,
ist	w5531
vom	w5532
K	w5533
<g/>
.
K	w5535
<g/>
.
Stadt	w5537
<g/>
=
und	w5539
Landger	w5540
<g/>
.
im	w5542
Kreutzeris	w5543
<g/>
.
H	w5545
<g/>
.
auf	w5547
der	w5548
Landstr	w5549
<g/>
.
beschaut	w5551
worden	w5552
<g/>
,
alt	w5554
24	w5555
<g/>
.
J	w5557
<g/>
.
Dem	w5559
Sebast	w5560
<g/>
.
Hof	w5562
bauer	w5563
<g/>
,
Herrs	w5565
<g/>
.
Kutscher	w5567
<g/>
,
s	w5569
<g/>
.
K	w5571
Jos	w5572
<g/>
.
im	w5574
roten	w5575
H	w5576
<g/>
.
vorn	w5578
Schottenth	w5579
<g/>
.
alt	w5581
1	w5582
<g/>
.
J	w5584
<g/>
.
Franz	w5586
Kerschenhamer	w5587
<g/>
,
Wais	w5589
<g/>
,
beym	w5591
gold	w5592
<g/>
.
Stern	w5594
zu	w5595
Mäzleinstorf	w5596
<g/>
,
alt	w5598
4	w5599
<g/>
.
J	w5601
<g/>
.
Summa	w5603
9	w5604
<g/>
.
Pers	w5606
<g/>
.
darunter	w5608
2	w5609
<g/>
.
Kind	w5611
<g/>
.
</list>
<head id="hl15">
AVERTISSEMENT	w5613
<g/>
.
</head>
<p id="p58">
Es	w5615
wird	w5616
anmit	w5617
jedermänniglich	w5618
kund	w5619
ge=macht	w5620
<g/>
=
<g/>
,
wasmassen	w5623
Se	w5624
<g/>
.
kaiserl	w5626
<g/>
.
Majest	w5628
<g/>
.
aus	w5630
allerhöchst	w5631
zu	w5632
den	w5633
hiesigen	w5634
Publico	w5635
allermildest	w5636
hegenden	w5637
Zuneigung	w5638
Sich	w5639
allergnädigst	w5640
ent=schlossen	w5641
<g/>
=
<g/>
,
und	w5644
verordnet	w5645
haben	w5646
<g/>
,
daß	w5648
künftighin	w5649
und	w5650
von	w5651
nun	w5652
an	w5653
<g/>
,
zu	w5655
allen	w5656
Zeiten	w5657
des	w5658
Jahrs	w5659
<g/>
,
und	w5661
zu	w5662
allen	w5663
Stunden	w5664
des	w5665
Tags	w5666
<g/>
,
ohne	w5668
Un=terschied	w5669
<g/>
=
jedermann	w5671
in	w5672
den	w5673
Bratter	w5674
sowohl	w5675
<g/>
,
als	w5677
in	w5678
das	w5679
Stadtgut	w5680
frey	w5681
spatzieren	w5682
zu	w5683
gehen	w5684
<g/>
,
zu	w5686
reiten	w5687
<g/>
,
und	w5689
zu	w5690
fahren	w5691
<g/>
,
und	w5693
zwar	w5694
nicht	w5695
nur	w5696
in	w5697
der	w5698
Hauptallee	w5699
<g/>
,
sondern	w5701
auch	w5702
in	w5703
den	w5704
Sei=tenalleen	w5705
<g/>
=
<g/>
,
Wiesen	w5708
und	w5709
Plätzen	w5710
<g/>
(
die	w5712
allzu	w5713
ab=gelegene	w5714
<g/>
=
Orte	w5716
<g/>
,
und	w5718
dicke	w5719
Waldungen	w5720
<g/>
,
wegen	w5722
sonst	w5723
etwa	w5724
zu	w5725
besorgenden	w5726
Unfugs	w5727
und	w5728
Miß=brauchs	w5729
<g/>
=
alleinig	w5731
ausgenommen	w5732
<g/>
)
erlaubet	w5734
<g/>
,
auch	w5736
Niemanden	w5737
vermehrt	w5738
seyn	w5739
soll	w5740
<g/>
,
sich	w5742
daselbst	w5743
mit	w5744
Ballonschlagen	w5745
<g/>
,
Keglscheiben	w5747
<g/>
,
und	w5749
an=dern	w5750
<g/>
=
erlaubten	w5752
Unterhaltungen	w5753
eigenen	w5754
Gefal=tens	w5755
<g/>
=
zu	w5757
divertiren	w5758
<g/>
:
wobey	w5760
man	w5761
sich	w5762
aber	w5763
ver=siehet	w5764
<g/>
=
<g/>
,
daß	w5767
niemand	w5768
bey	w5769
solcher	w5770
zu	w5771
mehrerer	w5772
Ergötzlichkeit	w5773
des	w5774
Publici	w5775
allergnädigst	w5776
ver=stattenden	w5777
<g/>
=
Freyheit	w5779
sich	w5780
gelüsten	w5781
lassen	w5782
werde	w5783
<g/>
,
einige	w5785
Unfüglichkeit	w5786
<g/>
,
oder	w5788
sonstig	w5789
unerlaubte	w5790
Ausschweifungen	w5791
<g/>
,
zu	w5793
unternehmen	w5794
<g/>
,
und	w5796
anmit	w5797
zu	w5798
einem	w5799
allerhöchsten	w5800
Mißfallen	w5801
Anlaß	w5802
zu	w5803
geben	w5804
<g/>
.
Wien	w5806
den	w5807
7	w5808
<g/>
.
April	w5810
1766	w5811
<g/>
.
</p>
<head id="hl16">
Copenhagen	w5826
vom	w5827
21	w5828
<g/>
.
März	w5830
<g/>
.
</head>
<p id="p59">
Von	w5832
dem	w5833
am	w5834
18	w5835
<g/>
.
dieses	w5837
vor	w5838
sich	w5839
gegange=nen	w5840
<g/>
=
Leichenbegängnisse	w5842
Sr	w5843
<g/>
.
höchstseel	w5845
<g/>
.
Majestät	w5847
<g/>
,
Königs	w5849
Friedrich	w5850
des	w5851
Fünften	w5852
<g/>
,
glorwürdigsten	w5854
Andenkens	w5855
<g/>
,
kann	w5857
man	w5858
jetzo	w5859
folgende	w5860
Nachricht	w5861
ertheilen	w5862
<g/>
:
</p>
<p id="p60">
Zwischen	w5864
2	w5865
<g/>
.
und	w5867
3	w5868
<g/>
.
Uhr	w5870
Nachmittags	w5871
<g/>
,
versammelten	w5873
sich	w5874
alle	w5875
zu	w5876
dieser	w5877
Feyerlichkeit	w5878
eingeladene	w5879
Minister	w5880
<g/>
,
Cavaliers	w5882
und	w5883
Bedien=te	w5884
<g/>
=
auf	w5886
dem	w5887
königl	w5888
<g/>
.
Schlosse	w5890
<g/>
.
Um	w5892
3	w5893
<g/>
.
Uhr	w5895
verfügten	w5896
desselben	w5897
sich	w5898
nach	w5899
der	w5900
Schloßka=pelle	w5901
<g/>
=
<g/>
,
wo	w5904
sie	w5905
von	w5906
4	w5907
<g/>
.
Hausmarschällen	w5909
em=pfangen	w5910
<g/>
=
wurden	w5912
<g/>
,
die	w5914
jeder	w5915
Parthey	w5916
ihre	w5917
Plä=tze	w5918
<g/>
=
anwiesen	w5920
<g/>
.
Unten	w5922
in	w5923
der	w5924
Kapelle	w5925
<g/>
,
rings	w5927
um	w5928
die	w5929
königl	w5930
<g/>
.
Leiche	w5932
<g/>
,
waren	w5934
die	w5935
neulich	w5936
schon	w5937
beschriebene	w5938
königl	w5939
<g/>
.
Jnsignien	w5941
<g/>
,
ingleichen	w5943
die	w5944
Fahnen	w5945
<g/>
,
17	w5947
<g/>
.
an	w5949
der	w5950
Zahl	w5951
<g/>
,
placiret	w5953
<g/>
.
Der	w5955
königl	w5956
<g/>
.
Stallmeister	w5958
<g/>
,
Hr	w5960
<g/>
.
Sperling	w5962
<g/>
,
mit	w5964
dem	w5965
goldenen	w5966
Harnisch	w5967
und	w5968
Helm	w5969
angethan	w5970
<g/>
,
und	w5972
mit	w5973
einer	w5974
weissen	w5975
Feder	w5976
auf	w5977
dem	w5978
Haupte	w5979
<g/>
,
stel=lete	w5981
<g/>
=
sich	w5983
mit	w5984
dem	w5985
blossen	w5986
Schwerdt	w5987
in	w5988
der	w5989
Hand	w5990
darneben	w5991
<g/>
.
Als	w5993
darauf	w5994
des	w5995
Königs	w5996
Majestät	w5997
und	w5998
die	w5999
königl	w6000
<g/>
.
Familie	w6002
gleichfalls	w6003
angekommen	w6004
<g/>
,
und	w6006
dero	w6007
Plätze	w6008
eingenommen	w6009
hatten	w6010
<g/>
,
begunte	w6012
der	w6013
Gottesdienst	w6014
mit	w6015
einer	w6016
kurzen	w6017
Trauermusik	w6018
<g/>
,
worauf	w6020
der	w6021
Hr	w6022
<g/>
.
Bischof	w6024
und	w6025
königl	w6026
<g/>
.
Beichtvater	w6028
Harboe	w6029
die	w6030
dänische	w6031
Predigt	w6032
hielte	w6033
<g/>
.
Hiernächst	w6035
wurde	w6036
wieder	w6037
musiciret	w6038
<g/>
,
wornächst	w6040
der	w6041
Herr	w6042
Hofprediger	w6043
Bluhm	w6044
deutsch	w6045
predigte	w6046
<g/>
,
und	w6048
dann	w6049
war	w6050
aber=mals	w6051
<g/>
=
Musik	w6053
<g/>
,
nach	w6055
welcher	w6056
der	w6057
Hr	w6058
<g/>
.
Professor	w6060
Holm	w6061
eine	w6062
lateinische	w6063
Rede	w6064
ablegte	w6065
<g/>
,
und	w6067
end=lich	w6068
<g/>
=
war	w6070
zum	w6071
Beschlusse	w6072
wieder	w6073
Musik	w6074
<g/>
,
un=ter	w6076
<g/>
=
welcher	w6078
die	w6079
Reichsinsignien	w6080
nach	w6081
dem	w6082
Zimmer	w6083
<g/>
,
wo	w6085
sie	w6086
gewöhnlich	w6087
aufgehoben	w6088
wer=den	w6089
<g/>
=
<g/>
,
zurück	w6092
gebracht	w6093
<g/>
,
und	w6095
die	w6096
aufgestellten	w6097
Fahnen	w6098
von	w6099
dem	w6100
Hrn	w6101
<g/>
.
Stallmeister	w6103
Sper=ling	w6104
<g/>
=
zu	w6106
der	w6107
Proceßionsstelle	w6108
geführet	w6109
wurden	w6110
<g/>
.
Die	w6112
königliche	w6113
Leiche	w6114
wurde	w6115
von	w6116
12	w6117
<g/>
.
Ober=sten	w6119
<g/>
=
<g/>
,
nämlich	w6122
7	w6123
<g/>
.
von	w6125
der	w6126
Cavallerie	w6127
und	w6128
5	w6129
<g/>
.
von	w6131
der	w6132
Jnfanterie	w6133
ausgetragen	w6134
<g/>
,
und	w6136
zwar	w6137
unter	w6138
einem	w6139
Himmel	w6140
<g/>
,
welchen	w6142
4	w6143
<g/>
.
Kammer=herren	w6145
<g/>
=
trungen	w6147
<g/>
.
Zugleich	w6149
begab	w6150
sich	w6151
nun	w6152
auch	w6153
das	w6154
hohe	w6155
Leichengefolge	w6156
<g/>
,
in	w6158
behöriger	w6159
Ord=lung	w6160
<g/>
=
<g/>
,
aus	w6163
der	w6164
Kapelle	w6165
<g/>
.
Mittlerweile	w6167
hatten	w6168
</p>
<p id="p61">
die	w6169
Bürgerschaft	w6170
der	w6171
Stadt	w6172
<g/>
,
die	w6174
Garnison	w6175
<g/>
,
und	w6177
die	w6178
Handwerker	w6179
bey	w6180
der	w6181
Marine	w6182
<g/>
,
sich	w6184
auf	w6185
den	w6186
angewiesenen	w6187
Plätzen	w6188
und	w6189
Gassen	w6190
in	w6191
Parade	w6192
gestellt	w6193
<g/>
,
durch	w6195
welche	w6196
hiernächst	w6197
die	w6198
Proceßion	w6199
<g/>
,
unter	w6201
wechselweiser	w6202
Läutung	w6203
mit	w6204
allen	w6205
Glocken	w6206
der	w6207
Stadt	w6208
<g/>
,
Musik	w6210
und	w6211
dem	w6212
Singspiele	w6213
von	w6214
der	w6215
Frauenkirche	w6216
<g/>
,
wie	w6218
auch	w6219
dem	w6220
Minutenschusse	w6221
von	w6222
den	w6223
bey	w6224
den	w6225
Hol=men	w6226
<g/>
=
liegenden	w6228
2	w6229
<g/>
.
königl	w6231
<g/>
.
Huckern	w6233
<g/>
,
von	w6235
dem	w6236
königl	w6237
<g/>
.
Zeughause	w6239
und	w6240
den	w6241
Batterien	w6242
der	w6243
Stadtwälle	w6244
<g/>
,
wobey	w6246
in	w6247
allem	w6248
144	w6249
<g/>
.
Schüsse	w6251
geschahen	w6252
<g/>
,
in	w6254
nachstehender	w6255
Ordnung	w6256
vor	w6257
sich	w6258
gieng	w6259
<g/>
:
</p>
<p id="p62">
1	w6261
<g/>
)
Ein	w6263
Escadron	w6264
von	w6265
der	w6266
Leibgarde	w6267
zu	w6268
Pferde	w6269
<g/>
.
2	w6271
<g/>
)
Der	w6273
älteste	w6274
Hoffourier	w6275
zu	w6276
Pfer=de	w6277
<g/>
=
<g/>
,
in	w6280
tiefer	w6281
Trauerkleidung	w6282
<g/>
.
3	w6284
<g/>
)
Die	w6286
sämt=liche	w6287
<g/>
=
fürstliche	w6289
Personen	w6290
und	w6291
Minister	w6292
in	w6293
ih=ren	w6294
<g/>
=
sechsspännigen	w6296
Trauerwägen	w6297
<g/>
,
die	w6299
von	w6300
niederem	w6301
Range	w6302
voraus	w6303
<g/>
,
und	w6305
die	w6306
Vornehm=sten	w6307
<g/>
=
zuletzt	w6309
<g/>
.
Eines	w6311
jeden	w6312
Bediente	w6313
giengen	w6314
in	w6315
Trauerliberey	w6316
mit	w6317
Fackeln	w6318
voran	w6319
<g/>
.
Der	w6321
Wägen	w6322
waren	w6323
42	w6324
<g/>
.
4	w6326
<g/>
)
12	w6328
<g/>
.
königl	w6330
<g/>
.
Pagen	w6332
mit	w6333
ihrem	w6334
Hofmeister	w6335
zu	w6336
Pferde	w6337
<g/>
,
in	w6339
tiefer	w6340
Trauertracht	w6341
<g/>
.
5	w6343
<g/>
)
Die	w6345
sämtliche	w6346
königl	w6347
<g/>
.
Hof=trompeter	w6349
<g/>
=
und	w6351
Paucker	w6352
zu	w6353
Pferde	w6354
<g/>
,
in	w6356
Trauer=liberey	w6357
<g/>
=
<g/>
.
6	w6360
<g/>
)
Die	w6362
grosse	w6363
Blutfahne	w6364
<g/>
,
getragen	w6366
von	w6367
einem	w6368
Major	w6369
und	w6370
einem	w6371
Seecapitain	w6372
<g/>
.
Voran	w6374
2	w6375
<g/>
.
Stallknechte	w6377
mit	w6378
Fackeln	w6379
<g/>
.
7	w6381
<g/>
)
Der	w6383
königl	w6384
<g/>
.
Reisestallmeister	w6386
<g/>
,
Herr	w6388
Kammerherr	w6389
von	w6390
Staffeldt	w6391
<g/>
.
8	w6393
<g/>
)
Die	w6395
andere	w6396
Hauptwa=penfahne	w6397
<g/>
=
mit	w6399
allen	w6400
Provinzen	w6401
und	w6402
dem	w6403
Dan=nebrogkreuze	w6404
<g/>
=
<g/>
,
getragen	w6407
von	w6408
einen	w6409
Capitain	w6410
<g/>
.
Voran	w6412
2	w6413
<g/>
.
Fackelträger	w6415
<g/>
.
9	w6417
<g/>
)
Zween	w6419
Second=leutenants	w6420
<g/>
=
mit	w6422
dem	w6423
Provincialpferde	w6424
von	w6425
Delmenhorst	w6426
<g/>
.
Voran	w6428
2	w6429
<g/>
.
Fackelträger	w6431
<g/>
.
10	w6433
<g/>
)
Ein	w6435
Secondleutenant	w6436
mit	w6437
der	w6438
Provinzfahne	w6439
von	w6440
Delmenhorst	w6441
<g/>
.
11	w6443
<g/>
)
2	w6445
dergleichen	w6446
Leu=tenants	w6447
<g/>
=
mit	w6449
dem	w6450
Provincialpferde	w6451
von	w6452
Ol=denburg	w6453
<g/>
=
<g/>
.
12	w6456
<g/>
)
Einer	w6458
mit	w6459
der	w6460
Fahne	w6461
von	w6462
Oldenburg	w6463
<g/>
.
13	w6465
<g/>
)
2	w6467
<g/>
.
Secondleutenants	w6469
mit	w6470
dem	w6471
Provincialpferde	w6472
von	w6473
Dithmarschen	w6474
<g/>
.
14	w6476
<g/>
)
Einer	w6478
mit	w6479
der	w6480
dithmarsischen	w6481
Fahne	w6482
<g/>
.
15	w6484
<g/>
)
2	w6486
<g/>
.
dergleichen	w6488
Leutenants	w6489
mit	w6490
dem	w6491
Provin=cialpferde	w6492
<g/>
=
von	w6494
Stormarn	w6495
<g/>
.
16	w6497
<g/>
)
Einer	w6499
mit	w6500
solcher	w6501
Provinzfahne	w6502
<g/>
.
17	w6504
<g/>
)
Ein	w6506
Premier=leutenant	w6507
<g/>
=
von	w6509
Landstaat	w6510
<g/>
,
und	w6512
ein	w6513
Second Secondleutenant	w6514
<g/>
=
</p>
<p id="p63">
leutenant	w6518
vom	w6519
Seestaat	w6520
<g/>
,
mit	w6522
dem	w6523
Provin=cialpferde	w6524
<g/>
=
von	w6526
Holstein	w6527
<g/>
.
18	w6529
<g/>
)
Ein	w6531
Second=leutenant	w6532
<g/>
=
mit	w6534
der	w6535
holsteinischen	w6536
Fahne	w6537
<g/>
.
19	w6539
<g/>
)
Ein	w6541
Seekapitainleutenant	w6542
mit	w6543
der	w6544
Fahne	w6545
von	w6546
Dannebroge	w6547
<g/>
.
20	w6549
<g/>
)
Das	w6551
Provincialpferd	w6552
von	w6553
Schleswig	w6554
<g/>
,
eben	w6556
so	w6557
<g/>
,
als	w6559
das	w6560
holsteinsche	w6561
<g/>
,
geführt	w6563
<g/>
.
21	w6565
<g/>
)
Ein	w6567
Secondleutenant	w6568
vom	w6569
See	w6570
<g/>
=
etat	w6572
mit	w6573
der	w6574
schleswigschen	w6575
Fahne	w6576
<g/>
.
22	w6578
<g/>
)
Das	w6580
Provincialpferd	w6581
der	w6582
Gothen	w6583
<g/>
,
wie	w6585
die	w6586
2	w6587
<g/>
.
vorigen	w6589
geführt	w6590
<g/>
.
23	w6592
<g/>
)
Ein	w6594
Secondleute=nant	w6595
<g/>
=
vom	w6597
See	w6598
<g/>
=
etat	w6600
mit	w6601
der	w6602
gothischen	w6603
Fah=ne	w6604
<g/>
=
<g/>
.
24	w6607
<g/>
)
Das	w6609
Provincialpferd	w6610
der	w6611
Wenden	w6612
<g/>
,
auf	w6614
gleiche	w6615
Weise	w6616
geführt	w6617
<g/>
.
25	w6619
<g/>
)
Ein	w6621
Pre=mierleutenant	w6622
<g/>
=
vom	w6624
Landetat	w6625
<g/>
,
mit	w6627
der	w6628
wendi=schen	w6629
<g/>
=
Fahne	w6631
<g/>
.
26	w6633
<g/>
)
2	w6635
<g/>
.
Premierleutenants	w6637
mit	w6638
dem	w6639
Provincialpferde	w6640
der	w6641
3	w6642
<g/>
.
Kronen	w6644
<g/>
.
27	w6646
<g/>
)
Ein	w6648
dergleichen	w6649
mit	w6650
der	w6651
Fahne	w6652
<g/>
.
28	w6654
<g/>
)
Das	w6656
Pferd	w6657
für	w6658
Norwegen	w6659
<g/>
,
geführt	w6661
wie	w6662
das	w6663
holsteinische	w6664
<g/>
.
29	w6666
<g/>
)
Ein	w6668
Secondleutenant	w6669
mit	w6670
der	w6671
norwegischen	w6672
Fahne	w6673
<g/>
.
30	w6675
<g/>
)
2	w6677
<g/>
.
Pre=mierleutenants	w6679
<g/>
=
mit	w6681
dem	w6682
Pferde	w6683
für	w6684
Dänne=mark	w6685
<g/>
=
<g/>
.
31	w6688
<g/>
)
Ein	w6690
Secondleutenant	w6691
vom	w6692
See=etat	w6693
<g/>
=
mit	w6695
der	w6696
Fahne	w6697
von	w6698
Dännemark	w6699
<g/>
.
32	w6701
<g/>
)
Die	w6703
erste	w6704
Hauptfahne	w6705
<g/>
,
getragen	w6707
von	w6708
einem	w6709
Rittmeister	w6710
<g/>
.
33	w6712
<g/>
)
2	w6714
<g/>
.
Premierleutenants	w6716
von	w6717
der	w6718
Artillerie	w6719
<g/>
,
mit	w6721
dem	w6722
darzu	w6723
gehörigen	w6724
Pfer=de	w6725
<g/>
=
<g/>
.
34	w6728
<g/>
)
2	w6730
<g/>
.
königl	w6732
<g/>
.
Bereiter	w6734
<g/>
.
35	w6736
<g/>
)
Die	w6738
Friedensfahne	w6739
<g/>
,
getragen	w6741
von	w6742
3	w6743
<g/>
.
Obristleute=nants	w6745
<g/>
=
und	w6747
3	w6748
<g/>
.
Commandeurcapitains	w6750
<g/>
,
in	w6752
ih=rer	w6753
<g/>
=
besten	w6755
Uniform	w6756
<g/>
.
36	w6758
<g/>
)
Der	w6760
königl	w6761
<g/>
.
Stall=meister	w6763
<g/>
=
Sperling	w6765
<g/>
,
auf	w6767
dem	w6768
vordersten	w6769
weissen	w6770
Friedenspferde	w6771
<g/>
,
mit	w6773
dem	w6774
goldenen	w6775
Harnisch	w6776
und	w6777
Helm	w6778
<g/>
.
37	w6780
<g/>
)
2	w6782
<g/>
.
weisse	w6784
Friedenspferde	w6785
<g/>
,
jedes	w6787
von	w6788
2	w6789
<g/>
.
Capitains	w6791
<g/>
,
in	w6793
der	w6794
Uniform	w6795
<g/>
,
ge=führt	w6797
<g/>
=
<g/>
.
38	w6800
<g/>
)
Eine	w6802
Trauerfahne	w6803
<g/>
,
von	w6805
einem	w6806
Obristleutenant	w6807
und	w6808
2	w6809
<g/>
.
Commandeurkapi=tains	w6811
<g/>
=
<g/>
,
in	w6814
ihrer	w6815
besten	w6816
Uniform	w6817
<g/>
,
getragen	w6819
<g/>
.
39	w6821
<g/>
)
3	w6823
<g/>
.
Trauerfperde	w6825
<g/>
,
jedes	w6827
von	w6828
einem	w6829
Ca=pitain	w6830
<g/>
=
beym	w6832
Landetat	w6833
<g/>
,
und	w6835
von	w6836
einem	w6837
Capi=tainleutenant	w6838
<g/>
=
beym	w6840
See	w6841
<g/>
=
etat	w6843
<g/>
,
geführt	w6845
<g/>
.
Vor	w6847
jedem	w6848
von	w6849
allen	w6850
vorbemeldeten	w6851
Pferden	w6852
wur=den	w6853
<g/>
=
2	w6855
<g/>
.
weisse	w6857
Fackeln	w6858
getragen	w6859
<g/>
.
40	w6861
<g/>
)
Hr	w6863
<g/>
.
Marschall	w6865
Moltke	w6866
zu	w6867
Pferde	w6868
<g/>
,
mit	w6870
überzoge=nem	w6871
<g/>
=
Marschallsstabe	w6873
<g/>
,
und	w6875
hinter	w6876
ihm	w6877
ein	w6878
Trupp	w6879
von	w6880
40	w6881
<g/>
.
Rangspersonen	w6883
zu	w6884
Pferde	w6885
<g/>
.
41	w6887
<g/>
)
Jhro	w6889
Majestät	w6890
der	w6891
verwittibten	w6892
Köni=gin	w6893
<g/>
=
Juliana	w6895
Maria	w6896
<g/>
,
Trauerwagen	w6898
<g/>
.
Voran	w6900
8	w6901
<g/>
.
und	w6903
an	w6904
den	w6905
Seiten	w6906
4	w6907
<g/>
.
Personen	w6909
von	w6910
der	w6911
königl	w6912
<g/>
.
Liberey	w6914
<g/>
,
mit	w6916
Fackeln	w6917
<g/>
.
42	w6919
<g/>
)
Des	w6921
höchstseel	w6922
<g/>
.
Königs	w6924
Leibwagen	w6925
<g/>
,
bey	w6927
welchem	w6928
</p>
<p id="p64">
der	w6929
älteste	w6930
Page	w6931
und	w6932
Leibdiener	w6933
voran	w6934
ritten	w6935
<g/>
.
43	w6937
<g/>
)
Der	w6939
Königl	w6940
<g/>
.
8	w6942
<g/>
=
spännige	w6944
Leichenwagen	w6945
<g/>
,
deren	w6947
Pferde	w6948
mit	w6949
Königl	w6950
<g/>
.
Wappenschildern	w6952
an	w6953
der	w6954
Stirne	w6955
und	w6956
an	w6957
den	w6958
Seiten	w6959
versehen	w6960
waren	w6961
<g/>
,
von	w6963
5	w6964
See	w6965
<g/>
=
Capitains	w6967
und	w6968
3	w6969
Majors	w6970
geführt	w6971
<g/>
.
Zur	w6973
rechten	w6974
Seite	w6975
ritte	w6976
der	w6977
Hr	w6978
<g/>
.
geheime	w6980
Conferenzrath	w6981
Gram	w6982
<g/>
,
und	w6984
zur	w6985
linken	w6986
der	w6987
Hr	w6988
<g/>
.
Stiftsamtmann	w6990
<g/>
,
Graf	w6992
Knuth	w6993
<g/>
.
Ue=ber	w6995
<g/>
=
dem	w6997
Königl	w6998
<g/>
.
Sarge	w7000
lag	w7001
eine	w7002
schwarze	w7003
sammetene	w7004
Decke	w7005
mit	w7006
silbernen	w7007
Franzen	w7008
<g/>
,
und	w7010
bordirt	w7011
mit	w7012
goldenen	w7013
Kronen	w7014
<g/>
,
dessen	w7016
Ziepfel	w7017
wurden	w7018
von	w7019
4	w7020
<g/>
.
Kammerjunkern	w7022
getragen	w7023
<g/>
.
Die	w7025
4	w7026
<g/>
.
Kammerherren	w7028
<g/>
,
welche	w7030
den	w7031
Himmel	w7032
getragen	w7033
hatten	w7034
<g/>
,
der	w7036
nun	w7037
über	w7038
den	w7039
Leichen=wagen	w7040
<g/>
=
bevestiget	w7042
war	w7043
<g/>
,
ritten	w7045
zu	w7046
den	w7047
Seiten	w7048
der	w7049
Leiche	w7050
<g/>
.
Es	w7052
folgten	w7053
auch	w7054
zu	w7055
den	w7056
Seiten	w7057
des	w7058
Leichenwagens	w7059
24	w7060
<g/>
.
Königl	w7062
<g/>
.
Renteschrei=ber	w7064
<g/>
=
und	w7066
andere	w7067
dergleichen	w7068
Bediente	w7069
mit	w7070
Fa=keln	w7071
<g/>
=
<g/>
,
imgleichen	w7074
12	w7075
<g/>
.
Trabantendienste	w7077
ver=richtende	w7078
<g/>
=
Premier	w7080
<g/>
=
Lieutenants	w7082
<g/>
,
