<doc id="edoc_wd_1726-09-07" attrs="word" year="1726" month="09" day="07" corpus="1">
<head id="hl1">
Copia	w54
Paul	w5426
Schachtner	w5427
<g/>
/
Wein	w5429
<g/>
=
Unter	w5431
<g/>
=
Handlern	w5433
<g/>
/
s	w5435
<g/>
.
W	w5437
<g/>
.
Sabina	w5439
<g/>
/
beym	w5441
golden	w5442
Schlössel	w5443
in	w5444
der	w5445
Joseph=stadt	w5446
<g/>
=
<g/>
/
alt	w5449
69	w5450
<g/>
.
J	w5452
<g/>
.
Georg	w5454
Anman	w5455
<g/>
/
neu	w5457
<g/>
=
gewordener	w5459
Soldat	w5460
<g/>
/
beyn	w5462
drey	w5463
Huf	w5464
<g/>
=
Eisen	w5466
an	w5467
der	w5468
Wien	w5469
<g/>
/
alt	w5471
22	w5472
<g/>
.
J	w5474
<g/>
.
Dem	w5476
Georg	w5477
Wieberger	w5478
<g/>
/
Schuh	w5480
<g/>
=
Machern	w5482
<g/>
/
s	w5484
<g/>
.
K	w5486
<g/>
.
An	w5488
<g/>
.
<g/>
/
beym	w5491
grün	w5492
Nuß	w5493
<g/>
=
Baum	w5495
am	w5496
Neubau	w5497
<g/>
/
alt	w5499
5	w5500
<g/>
.
Viertl	w5502
J	w5503
<g/>
.
Daniel	w5505
Beschga	w5506
<g/>
/
bey	w5508
denen	w5509
FF	w5510
<g/>
.
Misericordiæ Misericordiae	w5512
<g/>
,
alt	w5514
25	w5515
<g/>
.
J	w5517
<g/>
.
Ruprecht	w5519
<g/>
/
Steger	w5521
<g/>
/
Tagw	w5523
<g/>
.
<g/>
/
im	w5526
Kais	w5527
<g/>
.
Bau	w5529
<g/>
=
Stadl	w5531
in	w5532
der	w5533
Rossau	w5534
<g/>
/
alt	w5536
32	w5537
<g/>
.
J	w5539
<g/>
.
</list>
<head id="hl28">
Den	w5541
5	w5542
<g/>
.
Septemb	w5544
<g/>
.
</head>
<head id="hl29">
Jn	w5546
der	w5547
Stadt	w5548
<g/>
.
</head>
<list id="">
Ferd	w5550
<g/>
.
Carl	w5552
Schatzman	w5553
<g/>
/
B	w5555
<g/>
.
Gold	w5557
<g/>
=
Schmid	w5559
<g/>
/
im	w5561
Rue=pischen	w5562
<g/>
=
H	w5564
<g/>
.
in	w5566
der	w5567
Himmelport	w5568
<g/>
=
Gassen	w5570
<g/>
/
alt	w5572
58	w5573
<g/>
.
J	w5575
<g/>
.
Thom	w5577
<g/>
.
Madinger	w5579
<g/>
/
Kutscher	w5581
<g/>
/
im	w5583
Teutschen	w5584
<g/>
=
H	w5586
<g/>
.
<g/>
/
alt	w5589
56	w5590
<g/>
.
J	w5592
<g/>
.
</list>
<head id="hl30">
Vor	w5594
der	w5595
Stadt	w5596
<g/>
.
</head>
<list id="">
Dem	w5598
Hrn	w5599
<g/>
.
Ludwig	w5601
de	w5602
Ferrer	w5603
<g/>
,
gewesten	w5605
Fähndrich	w5606
<g/>
/
</list>
<list id="">
s	w5608
<g/>
.
Fr	w5610
<g/>
.
Barb	w5612
<g/>
.
<g/>
/
in	w5615
Fillgrafisch	w5616
<g/>
.
H	w5618
<g/>
.
in	w5620
der	w5621
Wahringer	w5622
<g/>
=
Gassen	w5624
<g/>
/
alt	w5626
26	w5627
<g/>
.
J	w5629
<g/>
.
Dem	w5631
Ant	w5632
<g/>
.
Seitz	w5634
<g/>
/
Uhr	w5636
<g/>
=
Machern	w5638
<g/>
/
s	w5640
<g/>
.
K	w5642
<g/>
.
Cath	w5644
<g/>
.
<g/>
/
im	w5647
Blümlimacherisch	w5648
<g/>
.
H	w5650
<g/>
.
auf	w5652
der	w5653
Laimgruben	w5654
<g/>
/
alt	w5656
2	w5657
<g/>
.
J	w5659
<g/>
.
Dem	w5661
Sebast	w5662
<g/>
.
Kuprinus	w5664
<g/>
/
Schnür	w5666
<g/>
=
Machern	w5668
<g/>
/
s	w5670
<g/>
.
K	w5672
<g/>
.
An=ton	w5674
<g/>
=
<g/>
/
im	w5677
Brandweinerisch	w5678
<g/>
.
H	w5680
<g/>
.
ausserm	w5682
Neubau	w5683
<g/>
/
alt	w5685
2	w5686
<g/>
.
J	w5688
<g/>
.
Eva	w5690
Breyerin	w5691
<g/>
/
Wittib	w5693
<g/>
/
beym	w5695
golden	w5696
Ochsen	w5697
im	w5698
Liechtenthal	w5699
<g/>
/
alt	w5701
75	w5702
<g/>
.
J	w5704
<g/>
.
Dem	w5706
Marx	w5707
Gehorsam	w5708
<g/>
/
Huterern	w5710
<g/>
/
s	w5712
<g/>
.
K	w5714
<g/>
.
Mar	w5716
<g/>
.
<g/>
/
im	w5719
Bild=hauerisch	w5720
<g/>
=
<g/>
.
H	w5723
<g/>
.
zu	w5725
Gumpendorf	w5726
<g/>
/
alt	w5728
4	w5729
<g/>
.
J	w5731
<g/>
.
Dem	w5733
Wolfg	w5734
<g/>
.
Bek	w5736
<g/>
/
Brod	w5738
<g/>
=
Sitzern	w5740
<g/>
/
s	w5742
<g/>
.
K	w5744
<g/>
.
Casp	w5746
<g/>
.
<g/>
/
beym	w5749
grossen	w5750
Christoph	w5751
in	w5752
der	w5753
Josephstadt	w5754
<g/>
/
alt	w5756
6	w5757
<g/>
.
Viertl	w5759
J	w5760
<g/>
.
Cath	w5762
<g/>
.
Deringerin	w5764
<g/>
/
Wittib	w5766
<g/>
/
bey	w5768
der	w5769
golden	w5770
Wein	w5771
<g/>
=
Trau=ben	w5773
<g/>
=
in	w5775
der	w5776
Josephstadt	w5777
<g/>
/
alt	w5779
37	w5780
<g/>
.
J	w5782
<g/>
.
Dem	w5784
Joh	w5785
<g/>
.
Felmoser	w5787
<g/>
/
Kutschern	w5789
<g/>
/
s	w5791
<g/>
.
K	w5793
<g/>
.
Frantz	w5795
<g/>
/
beym	w5797
grün	w5798
Rossel	w5799
in	w5800
der	w5801
Josephstadt	w5802
<g/>
/
alt	w5804
5	w5805
<g/>
.
Viertl	w5807
J	w5808
<g/>
.
Carl	w5810
Anmer	w5811
<g/>
/
alt	w5813
30	w5814
<g/>
.
J	w5816
<g/>
.
Mar	w5818
<g/>
.
Bernhardin	w5820
<g/>
/
alt	w5822
40	w5823
<g/>
.
J	w5825
<g/>
.
und	w5827
Francis	w5828
<g/>
.
Curlandin	w5830
<g/>
/
alt	w5832
20	w5833
<g/>
.
J	w5835
<g/>
.
alle	w5837
drey	w5838
im	w5839
Kranken	w5840
<g/>
=
H	w5842
<g/>
.
</list>
<head id="hl31">
Den	w5844
6	w5845
<g/>
.
Septemb	w5847
<g/>
.
</head>
<head id="hl32">
Jn	w5849
der	w5850
Stadt	w5851
<g/>
.
</head>
<list id="">
Dem	w5853
Hrn	w5854
<g/>
.
Mathias	w5856
Hueber	w5857
<g/>
/
K	w5859
<g/>
.
Hof	w5861
<g/>
=
Buchhalt	w5863
<g/>
.
Rait	w5865
<g/>
=
Officiern	w5867
<g/>
/
s	w5869
<g/>
.
K	w5871
<g/>
.
Carl	w5873
<g/>
/
im	w5875
Wagneris	w5876
<g/>
.
H	w5878
<g/>
.
in	w5880
der	w5881
Renn	w5882
<g/>
=
Gassen	w5884
<g/>
/
alt	w5886
6	w5887
<g/>
.
Viertl	w5889
J	w5890
<g/>
.
Jos	w5892
<g/>
.
Kien	w5894
<g/>
/
Arsenal	w5896
<g/>
=
Lehen	w5898
<g/>
=
Wachter	w5900
<g/>
/
welcher	w5902
gestern	w5903
im	w5904
Leutgeb	w5905
<g/>
=
Häusel	w5907
unterm	w5908
Neuen	w5909
<g/>
=
Thor	w5911
wegen	w5912
ein=genohmener	w5913
<g/>
=
Medicin	w5915
gestorben	w5916
<g/>
/
ist	w5918
alda	w5919
vom	w5920
Kais	w5921
<g/>
.
Stadt	w5923
<g/>
=
Gericht	w5925
beschaut	w5926
worden	w5927
<g/>
/
alt	w5929
28	w5930
<g/>
.
J	w5932
<g/>
.
</list>
<head id="hl33">
Vor	w5934
der	w5935
Stadt	w5936
<g/>
.
</head>
<list id="">
Dem	w5938
Joh	w5939
<g/>
.
Leibl	w5941
<g/>
/
B	w5943
<g/>
.
Conduct	w5945
-Ansagern	w5946
<g/>
/
und	w5948
Meß=nern	w5949
<g/>
=
bey	w5951
S	w5952
<g/>
.
Salvator	w5954
<g/>
/
s	w5956
<g/>
.
K	w5958
<g/>
.
Helena	w5960
<g/>
/
im	w5962
Englisch	w5963
<g/>
.
H	w5965
<g/>
.
zu	w5967
Erdberg	w5968
<g/>
/
alt	w5970
5	w5971
<g/>
.
Viertl	w5973
J	w5974
<g/>
.
Dem	w5976
Joh	w5977
<g/>
.
Georg	w5979
Höltzl	w5980
<g/>
/
B	w5982
<g/>
.
Schuh	w5984
<g/>
=
Machern	w5986
<g/>
/
s	w5988
<g/>
.
W	w5990
<g/>
.
An	w5992
<g/>
.
M	w5994
<g/>
.
<g/>
/
bey	w5997
der	w5998
golden	w5999
Kandl	w6000
am	w6001
Spitlberg	w6002
<g/>
/
alt	w6004
51	w6005
<g/>
.
J	w6007
<g/>
.
Dem	w6009
Frantz	w6010
Rabl	w6011
<g/>
/
Vergoldern	w6013
<g/>
/
s	w6015
K	w6016
<g/>
.
An	w6018
<g/>
.
<g/>
/
beym	w6021
weis=sen	w6022
<g/>
=
Lammel	w6024
am	w6025
Spitlberg	w6026
<g/>
/
alt	w6028
2	w6029
<g/>
.
und	w6031
1	w6032
<g/>
.
halb	w6034
J	w6035
<g/>
.
Dem	w6037
Mart	w6038
<g/>
.
Sallinger	w6040
<g/>
/
Haupt	w6042
<g/>
=
Maut	w6044
<g/>
=
Amts	w6046
<g/>
=
Aufleg	w6048
<g/>
=
Meistern	w6050
<g/>
/
s	w6052
<g/>
.
T	w6054
<g/>
.
An	w6056
<g/>
.
<g/>
/
im	w6059
Eisenhuetisch	w6060
<g/>
.
H	w6062
<g/>
.
in	w6064
der	w6065
Leopoldstadt	w6066
<g/>
/
alt	w6068
16	w6069
<g/>
.
J	w6071
<g/>
.
Dem	w6073
Max	w6074
Müllbacher	w6075
<g/>
/
Schuh	w6077
<g/>
=
Machern	w6079
<g/>
/
s	w6081
<g/>
.
K	w6083
<g/>
.
Ant	w6085
<g/>
.
im	w6087
Maurermeisterisch	w6088
<g/>
.
H	w6090
<g/>
.
im	w6092
Liechtenthal	w6093
<g/>
/
alt	w6095
1	w6096
<g/>
.
J	w6098
<g/>
.
Dem	w6100
Hilary	w6101
Hitzler	w6102
<g/>
/
Lakeyen	w6104
<g/>
/
s	w6106
<g/>
.
K	w6108
<g/>
.
Hilary	w6110
<g/>
/
bey	w6112
der	w6113
golden	w6114
Kandl	w6115
in	w6116
der	w6117
Josephstadt	w6118
<g/>
/
alt	w6120
7	w6121
<g/>
.
Viertl	w6123
J	w6124
<g/>
.
Dem	w6126
Mathias	w6127
Müllner	w6128
<g/>
/
K	w6130
<g/>
.
Kutschern	w6132
<g/>
/
s	w6134
<g/>
.
K	w6136
<g/>
.
Max	w6138
<g/>
/
bey	w6140
der	w6141
Rundellen	w6142
bey	w6143
St	w6144
<g/>
.
Ulrich	w6146
<g/>
/
alt	w6148
7	w6149
<g/>
.
Viertl	w6151
J	w6152
<g/>
.
Dem	w6154
Georg	w6155
Witzman	w6156
<g/>
/
Lakeyen	w6158
<g/>
/
s	w6160
<g/>
.
K	w6162
<g/>
.
Johann	w6164
<g/>
/
bey	w6166
der	w6167
blauen	w6168
Kugl	w6169
am	w6170
Spitlberg	w6171
<g/>
/
alt	w6173
6	w6174
<g/>
.
J	w6176
<g/>
.
Dem	w6178
Sim	w6179
<g/>
.
Ciprian	w6181
<g/>
/
Tandlern	w6183
<g/>
/
s	w6185
<g/>
.
K	w6187
<g/>
.
Peter	w6189
<g/>
/
beym	w6191
grün	w6192
Rössel	w6193
am	w6194
Spitlberg	w6195
<g/>
/
alt	w6197
5	w6198
<g/>
.
Viertl	w6200
J	w6201
<g/>
.
Dem	w6203
Joh	w6204
<g/>
.
Stumer	w6206
<g/>
/
Lein	w6208
<g/>
=
Webern	w6210
<g/>
/
s	w6212
<g/>
.
K	w6214
<g/>
.
Christoph	w6216
<g/>
/
im	w6218
Brünlisch	w6219
<g/>
.
H	w6221
<g/>
.
ausserm	w6223
Neubau	w6224
<g/>
/
alt	w6226
6	w6227
<g/>
.
J	w6229
<g/>
.
Dem	w6231
Leonh	w6232
<g/>
.
Brandner	w6234
<g/>
/
Kutschern	w6236
<g/>
/
s	w6238
<g/>
.
W	w6240
<g/>
.
An	w6242
<g/>
.
<g/>
/
im	w6245
Bekisch	w6246
<g/>
.
in	w6248
der	w6249
Alster	w6250
<g/>
=
Gassen	w6252
<g/>
/
alt	w6254
30	w6255
<g/>
.
J	w6257
<g/>
.
Dem	w6259
Lor	w6260
<g/>
.
Binder	w6262
<g/>
/
Tagw	w6264
<g/>
.
<g/>
/
s	w6267
<g/>
.
K	w6269
<g/>
.
Magd	w6271
<g/>
.
<g/>
/
im	w6274
Halbpfa=fischen	w6275
<g/>
=
H	w6277
<g/>
.
am	w6279
Magdalena	w6280
<g/>
=
Grund	w6282
<g/>
/
alt	w6284
6	w6285
<g/>
.
Viertl	w6287
J	w6288
<g/>
.
</list>
<head id="hl34">
Siebendes	w6307
Kräntzel	w6308
<g/>
=
Schiessen	w6310
in	w6311
der	w6312
Kaiserl	w6313
<g/>
.
Favorita	w6315
<g/>
,
den	w6317
1	w6318
<g/>
.
Septemb	w6320
<g/>
.
1726	w6322
<g/>
.
<g/>
/
welches	w6325
daselbst	w6326
mit	w6327
einander	w6328
gegeben	w6329
</head>
<p id="p64">
Se	w6330
<g/>
.
Excell	w6332
<g/>
.
<g/>
(
Tit	w6335
<g/>
.
<g/>
)
Herr	w6338
Gundaker	w6339
des	w6340
H	w6341
<g/>
.
R	w6343
<g/>
.
Reichs	w6345
Graf	w6346
und	w6347
Herr	w6348
von	w6349
Althann	w6350
<g/>
/
Frey	w6352
<g/>
=
Herr	w6354
von	w6355
der	w6356
Goldburg	w6357
<g/>
/
Herr	w6359
deren	w6360
Herrschaften	w6361
Murstetten	w6362
<g/>
/
Henzing	w6364
<g/>
/
Freyen	w6366
<g/>
=
Au	w6368
<g/>
=
Mühl	w6370
<g/>
/
Zwentendorf	w6372
<g/>
/
Halberein	w6374
und	w6375
Clera	w6376
<g/>
/
ꝛc	w6378
<g/>
.
der	w6380
Röm	w6381
<g/>
.
Kaiserl	w6383
<g/>
.
Majestät	w6385
würkl	w6386
<g/>
.
Geheimer	w6388
<g/>
=
und	w6390
Hof	w6391
<g/>
=
Kriegs	w6393
<g/>
=
Raht	w6395
<g/>
/
Cammerer	w6397
<g/>
/
General	w6399
der	w6400
Cavallerie	w6401
<g/>
/
Gubernator	w6403
zu	w6404
Raab	w6405
<g/>
/
auch	w6407
daselbst	w6408
incorporirter	w6409
Gräntzen	w6410
<g/>
=
und	w6412
General	w6413
<g/>
=
Director	w6415
über	w6416
alle	w6417
Dero	w6418
Hof	w6419
<g/>
=
Lust	w6421
<g/>
=
und	w6423
Garten	w6424
<g/>
=
Gebäu	w6426
<g/>
/
Obrister	w6428
über	w6429
ein	w6430
Regiment	w6431
Dragoner	w6432
<g/>
/
ꝛc	w6434
<g/>
.
Dann	w6436
auch	w6437
Allerhöchst	w6438
besagt	w6439
<g/>
=
Jhrer	w6441
Majestät	w6442
würkl	w6443
<g/>
.
Cammerer	w6445
<g/>
(
Tit	w6447
<g/>
.
<g/>
)
Herr	w6450
Ernst	w6451
Sigmund	w6452
Graf	w6453
von	w6454
Trautmanstorf	w6455
<g/>
/
ꝛc	w6457
<g/>
.
Frey	w6459
<g/>
=
Herr	w6461
auf	w6462
Gleichenberg	w6463
<g/>
/
Negau	w6465
<g/>
/
Burgau	w6467
<g/>
/
und	w6469
Tatzenbach	w6470
<g/>
/
Herr	w6472
auf	w6473
Thimitz	w6474
<g/>
/
Leitomischel	w6476
<g/>
/
Obern	w6478
<g/>
=
Thal	w6480
<g/>
/
und	w6482
Pirkenstein	w6483
<g/>
/
der	w6485
Röm	w6486
<g/>
.
Kaiserl	w6488
<g/>
.
Majestät	w6490
J	w6491
<g/>
.
Oe	w6493
<g/>
.
Regiments	w6495
<g/>
=
Raht	w6497
und	w6498
Cammerer	w6499
<g/>
.
</p>
<p id="p65">
Dabey	w6501
gewonnen	w6502
wie	w6503
folget	w6504
<g/>
:
nehmlich	w6506
</p>
<p id="p66">
Ritter RitterHaupt	w6507
<g/>
=
</p>
<p id="p67">
Haupt	w6509
Fahn	w6510
und	w6511
Beutel	w6512
seynd	w6513
heim	w6514
<g/>
=
gefallen	w6516
<g/>
/
auf	w6518
ein	w6519
andersmal	w6520
auszustechen	w6521
<g/>
.
</p>
<p id="p68">
Ersten	w6523
Krantz	w6524
<g/>
/
</p>
<p id="p69">
Samt	w6526
Haupt	w6527
<g/>
=
Fahn	w6529
und	w6530
Preis	w6531
<g/>
/
in	w6533
einem	w6534
Trühel	w6535
ein	w6536
silberner	w6537
gantz	w6538
vergoldter	w6539
Mund	w6540
<g/>
=
Zeug	w6542
mit	w6543
aller	w6544
Zugehör	w6545
<g/>
/
auch	w6547
einem	w6548
schönen	w6549
mit	w6550
Gold	w6551
eingelassenen	w6552
Porcelainenen	w6553
Chioccolata	w6554
<g/>
-
Becher	w6556
<g/>
/
nebst	w6558
fein	w6559
geschnit=tenem	w6560
<g/>
=
Wasser	w6562
<g/>
=
Becher	w6564
oder	w6565
Trink	w6566
<g/>
=
Glas	w6568
von	w6569
neuer	w6570
Façon	w6571
<g/>
.
</p>
<p id="p70">
Hr	w6573
<g/>
.
Michael	w6575
Anton	w6576
Graf	w6577
von	w6578
Althann	w6579
<g/>
/
ꝛc	w6581
<g/>
.
</p>
<p id="p71">
Anderten	w6583
Krantz	w6584
<g/>
/
</p>
<p id="p72">
Samt	w6586
detto	w6587
Haupt	w6588
<g/>
=
Fahn	w6590
und	w6591
Preis	w6592
<g/>
/
nehmlich	w6594
auf	w6595
einer	w6596
silbernen	w6597
gantz	w6598
vergoldten	w6599
Præsentir Praesentir	w6600
<g/>
-
Tazza	w6602
eine	w6603
andere	w6604
compendiose	w6605
Chioccolata	w6606
<g/>
-
Servis	w6608
<g/>
,
von	w6610
schön	w6611
erhobener	w6612
Arbeit	w6613
<g/>
/
in	w6615
zugehörigem	w6616
Futteral	w6617
<g/>
.
</p>
<p id="p73">
Hr	w6619
<g/>
.
Corsix	w6621
Anton	w6622
Graf	w6623
von	w6624
Ulfeld	w6625
<g/>
/
ꝛc	w6627
<g/>
.
</p>
<p id="p74">
Bestes	w6629
<g/>
/
</p>
<p id="p75">
Samt	w6631
seinem	w6632
Haupt	w6633
<g/>
=
Fahn	w6635
<g/>
/
ware	w6637
ein	w6638
Preis	w6639
in	w6640
einer	w6641
zimlich	w6642
grossen	w6643
Serviz	w6644
-Truhen	w6645
bestehend	w6646
<g/>
/
mit	w6648
aller=hand	w6649
<g/>
=
Theé Theéauch	w6651
<g/>
-
auch	w6653
Cafée	w6654
-Kannen	w6655
und	w6656
Bechern	w6657
<g/>
/
samt	w6659
Untersätzlein	w6660
und	w6661
dergleichen	w6662
Zugehör	w6663
<g/>
/
von	w6665
feinester	w6666
mit	w6667
Gold	w6668
eingestossener	w6669
Porcelaine	w6670
<g/>
/
übrigens	w6672
auch	w6673
mit	w6674
darzu	w6675
erforderlichen	w6676
vergoldten	w6677
Silber	w6678
<g/>
=
werk	w6680
besetzt	w6681
<g/>
.
</p>
<p id="p76">
Jhre	w6683
Majestät	w6684
der	w6685
Kaiser	w6686
<g/>
/
Unser	w6688
Allergnä=digster	w6689
<g/>
=
Herr	w6691
Herr	w6692
<g/>
/
ꝛc	w6694
<g/>
.
ꝛc	w6696
<g/>
.
</p>
<p id="p77">
2ten	w6698
Fahn	w6699
und	w6700
Beutel	w6701
<g/>
.
</p>
<p id="p78">
Jhre	w6703
Durchl	w6704
<g/>
.
Ertz	w6706
Hertzogin	w6707
Maria	w6708
Theresia	w6709
<g/>
/
durch	w6711
Hrn	w6712
<g/>
.
Carl	w6714
Anton	w6715
Grafen	w6716
v	w6717
<g/>
.
Harrach	w6719
<g/>
/
ꝛc	w6721
<g/>
.
</p>
<p id="p79">
3ten	w6723
Fahn	w6724
und	w6725
Beutel	w6726
<g/>
.
</p>
<p id="p80">
Jhre	w6728
Durchl	w6729
<g/>
.
Ertz	w6731
<g/>
=
Hertzogin	w6733
Maria	w6734
Anna	w6735
<g/>
/
durch	w6737
Hrn	w6738
<g/>
.
Ernst	w6740
Sigmund	w6741
Grafen	w6742
von	w6743
Traut=manstorf	w6744
<g/>
=
<g/>
/
ꝛc	w6747
<g/>
.
</p>
<p id="p81">
4ten	w6749
Fahn	w6750
und	w6751
Beutel	w6752
<g/>
.
</p>
<p id="p82">
Se	w6754
<g/>
.
Excell	w6756
<g/>
.
Hr	w6758
<g/>
.
Vice	w6760
-Statthalter	w6761
Baron	w6762
v	w6763
<g/>
.
Kriech=baum	w6765
<g/>
=
<g/>
/
ꝛc	w6768
<g/>
.
durch	w6770
Hrn	w6771
<g/>
.
Anton	w6773
Grafen	w6774
v	w6775
<g/>
.
Althann	w6777
<g/>
/
ꝛc	w6779
<g/>
.
</p>
<p id="p83">
5ten	w6781
Fahn	w6782
und	w6783
Beutel	w6784
<g/>
.
</p>
<p id="p84">
Jhre	w6786
Majestät	w6787
die	w6788
Regierende	w6789
Römische	w6790
Kaise=rin	w6791
<g/>
=
<g/>
/
Unser	w6794
Allergnädigste	w6795
Frau	w6796
Frau	w6797
<g/>
.
</p>
<p id="p85">
6ten	w6799
Fahn	w6800
und	w6801
Beutel	w6802
<g/>
.
</p>
<p id="p86">
Detto	w6804
Jhre	w6805
Majestät	w6806
<g/>
.
</p>
<p id="p87">
7ten	w6808
Fahn	w6809
und	w6810
Beutel	w6811
<g/>
.
</p>
<p id="p88">
Se	w6813
<g/>
.
Excell	w6815
<g/>
.
Hr	w6817
<g/>
.
Hof	w6819
<g/>
=
Cantzler	w6821
Graf	w6822
von	w6823
Sintzen=dorf	w6824
<g/>
=
<g/>
/
ꝛc	w6827
<g/>
.
durch	w6829
dero	w6830
Hrn	w6831
<g/>
.
Sohn	w6833
Joh	w6834
<g/>
.
Wilhelm	w6836
Grafen	w6837
von	w6838
Sintzendorf	w6839
<g/>
/
ꝛc	w6841
<g/>
.
</p>
<p id="p89">
8ten	w6843
Fahn	w6844
und	w6845
Beutel	w6846
<g/>
.
</p>
<p id="p90">
Jhre	w6848
Durchl	w6849
<g/>
.
Ertz	w6851
<g/>
=
Hertzogin	w6853
Maria	w6854
Anna	w6855
<g/>
/
durch	w6857
Hrn	w6858
<g/>
.
Grafen	w6860
von	w6861
Zichy	w6862
<g/>
/
ꝛc	w6864
<g/>
.
</p>
<p id="p91">
9ten	w6866
Fahn	w6867
und	w6868
Beutel	w6869
<g/>
.
</p>
<p id="p92">
Jhre	w6871
Durchl	w6872
<g/>
.
Hr	w6874
<g/>
.
Joh	w6876
<g/>
.
Friderich	w6878
Printz	w6879
von	w6880
Mo-dena	w6881
<g/>
-
<g/>
,
&c	w6884
<g/>
.
</p>
<p id="p93">
10ten	w6886
Fahn	w6887
und	w6888
Beutel	w6889
<g/>
.
</p>
<p id="p94">
Hr	w6891
<g/>
.
Obrist	w6893
<g/>
=
Hof	w6895
<g/>
=
Kuchel	w6897
<g/>
=
Meister	w6899
Graf	w6900
v	w6901
Mollart	w6902
<g/>
/
ꝛc	w6904
<g/>
.
</p>
<p id="p95">
11ten	w6906
Fahn	w6907
und	w6908
Beutel	w6909
<g/>
.
</p>
<p id="p96">
Se	w6911
<g/>
.
Excell	w6913
<g/>
.
Hr	w6915
<g/>
.
Obrist	w6917
Cammerer	w6918
<g/>
/
Graf	w6920
von	w6921
Cobentzl	w6922
<g/>
/
ꝛc	w6924
<g/>
.
</p>
<p id="p97">
12ten	w6926
Fahn	w6927
und	w6928
Beutel	w6929
<g/>
.
</p>
<p id="p98">
Hr	w6931
<g/>
.
Ernst	w6933
Sigmund	w6934
Graf	w6935
von	w6936
Trautmanstorf	w6937
<g/>
/
ꝛc	w6939
<g/>
.
</p>
<p id="p99">
13ten	w6941
Beutel	w6942
ohne	w6943
Fahn	w6944
<g/>
.
</p>
<p id="p100">
Se	w6946
<g/>
.
Excell	w6948
<g/>
.
Hr	w6950
<g/>
.
General	w6952
Gund	w6953
<g/>
.
Graf	w6955
von	w6956
Althann	w6957
<g/>
/
ꝛc	w6959
<g/>
.
</p>
<p id="p101">
14ten	w6961
Beutel	w6962
<g/>
.
</p>
<p id="p102">
Jhre	w6964
Durchl	w6965
<g/>
.
Hr	w6967
<g/>
.
Erb	w6969
<g/>
=
Printz	w6971
von	w6972
Lothringen	w6973
<g/>
/
ꝛc	w6975
<g/>
.
</p>
<p id="p103">
15ten	w6977
Beutel	w6978
<g/>
.
</p>
<p id="p104">
Se	w6980
<g/>
.
Excell	w6982
<g/>
.
Hr	w6984
<g/>
.
Vice	w6986
-Statthalter	w6987
<g/>
/
ꝛc	w6989
<g/>
.
durch	w6991
Herrn	w6992
Grafen	w6993
von	w6994
Mollart	w6995
<g/>
/
ꝛc	w6997
<g/>
.
</p>
<p id="p105">
16ten	w6999
Beutel	w7000
<g/>
.
</p>
<p id="p106">
Jhre	w7002
Majestät	w7003
die	w7004
Kaiserin	w7005
<g/>
/
ꝛc	w7007
<g/>
.
</p>
<p id="p107">
17ten	w7009
Beutel	w7010
<g/>
.
</p>
<p id="p108">
Hr	w7012
<g/>
.
Carl	w7014
Anton	w7015
Graf	w7016
von	w7017
Harrach	w7018
<g/>
/
ꝛc	w7020
<g/>
.
</p>
<p id="p109">
18ten	w7022
Beutel	w7023
<g/>
.
</p>
<p id="p110">
Hr	w7025
<g/>
.
Obrist	w7027
<g/>
=
Jäger	w7029
<g/>
=
Meister	w7031
Graf	w7032
zu	w7033
Hardegg	w7034
<g/>
/
ꝛc	w7036
<g/>
.
</p>
<p id="p111">
19ten	w7038
Beutel	w7039
<g/>
.
</p>
<p id="p112">
Hr	w7041
<g/>
.
Rudolph	w7043
Joseph	w7044
Graf	w7045
von	w7046
Korzensky	w7047
<g/>
/
ꝛc	w7049
<g/>
.
</p>
<p id="p113">
20ten	w7051
Beutel	w7052
<g/>
.
</p>
<p id="p114">
Jhre	w7054
Majestät	w7055
die	w7056
Kaiserin	w7057
<g/>
.
</p>
<p id="p115">
21ten	w7060
Beutel	w7061
<g/>
.
</p>
<p id="p116">
Hr	w7063
<g/>
.
Graf	w7065
von	w7066
Trautmanstorf	w7067
<g/>
/
ꝛc	w7069
<g/>
.
</p>
<p id="p117">
22ten	w7071
Beutel	w7072
<g/>
.
</p>
<p id="p118">
Hr	w7074
<g/>
.
Obrist	w7076
<g/>
=
Jäger	w7078
<g/>
=
und	w7080
Schützen	w7081
<g/>
=
Meister	w7083
Graf	w7084
zu	w7085
Hardegg	w7086
<g/>
/
ꝛc	w7088
<g/>
.
</p>
<p id="p119">
23ten	w7090
Beutel	w7091
<g/>
.
</p>
<p id="p120">
Hr	w7093
<g/>
.
Corsix	w7095
Graf	w7096
von	w7097
Ulfeld	w7098
<g/>
/
ꝛc	w7100
<g/>
.
</p>
<p id="p121">
24ten	w7102
Beutel	w7103
<g/>
.
</p>
<p id="p122">
Hr	w7105
<g/>
.
Carl	w7107
Graf	w7108
von	w7109
Harrach	w7110
<g/>
/
ꝛc	w7112
<g/>
.
</p>
<p id="p123">
25ten	w7114
Beutel	w7115
<g/>
.
</p>
<p id="p124">
Hr	w7117
<g/>
.
Obrist	w7119
<g/>
=
Hof	w7121
<g/>
=
Falken	w7123
<g/>
=
Meister	w7125
Joh	w7126
<g/>
.
Albrecht	w7128
Graf	w7129
v	w7130
<g/>
.
S	w7132
<g/>
.
Julian	w7134
<g/>
,
&c	w7136
<g/>
.
</p>
